Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS 2017,LUNAR pojedynczy,0.869 ± 0.004,0.743 ± 0.013,0.670 ± 0.020,0.687 ± 0.001,0.678 ± 0.010,224.8 ± 80.4,8.4 ± 1.3
CICIDS 2017,Bagging,0.865 ± 0.002,0.735 ± 0.001,0.649 ± 0.010,0.690 ± 0.001,0.668 ± 0.005,1182.5 ± 397.0,44.0 ± 9.0
CICIDS 2017,Boosting,0.867 ± 0.000,0.736 ± 0.002,0.650 ± 0.007,0.688 ± 0.001,0.669 ± 0.003,1188.3 ± 409.4,44.6 ± 10.1
CICIDS 2017,Stacking,0.782 ± 0.145,0.684 ± 0.087,0.727 ± 0.123,0.613 ± 0.132,0.649 ± 0.041,1194.0 ± 375.2,42.4 ± 5.8
CICIDS 2017,Voting,0.794 ± 0.004,0.551 ± 0.006,0.683 ± 0.004,0.682 ± 0.001,0.682 ± 0.002,1247.4 ± 368.0,43.4 ± 5.4
UNSW-NB15,LUNAR pojedynczy,0.889 ± 0.005,0.930 ± 0.002,0.896 ± 0.006,0.790 ± 0.002,0.839 ± 0.002,373.5 ± 61.9,12.3 ± 1.1
UNSW-NB15,Bagging,0.888 ± 0.005,0.930 ± 0.002,0.906 ± 0.016,0.783 ± 0.007,0.840 ± 0.006,1878.4 ± 308.0,59.7 ± 4.5
UNSW-NB15,Boosting,0.888 ± 0.004,0.928 ± 0.003,0.909 ± 0.016,0.781 ± 0.006,0.840 ± 0.006,1867.9 ± 295.8,59.8 ± 4.7
UNSW-NB15,Stacking,0.892 ± 0.003,0.932 ± 0.002,0.906 ± 0.014,0.782 ± 0.008,0.839 ± 0.006,1868.9 ± 299.7,60.0 ± 5.1
UNSW-NB15,Voting,0.849 ± 0.005,0.843 ± 0.009,0.895 ± 0.006,0.788 ± 0.007,0.838 ± 0.003,1868.7 ± 298.1,60.0 ± 5.1
