dataset_name,fusion_strategy,Scenariusz,Poziom,AUC_PR_mean,AUC_PR_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,ConfusionMatrix_FP_mean,ConfusionMatrix_FP_std
CICIDS,bagging,Dropout cech,0.1,0.7422404101016135,0.0018095325119672117,0.6775624737933444,0.007164777899869361,0.668379753624469,0.013512207371724021,0.6870913345722348,0.00038050355130249034,6609.333333333333,403.48523310442636
CICIDS,bagging,Dropout cech,0.3,0.6947390218707605,0.001568799684415261,0.6640062173230334,0.004657546665492169,0.6830439496772377,0.0004060585550506711,0.6460355151765435,0.008539007496883912,5807.333333333333,69.97380462239667
CICIDS,bagging,Nierównowaga,0.25,0.5146706493485752,0.020255115291132428,0.44133903469433605,0.007046503289275338,0.3244251573542239,0.007907069965460686,0.6902057953059398,0.0011921335312608528,6965.0,259.8557292037257
CICIDS,bagging,Nierównowaga,0.5,0.6277747501462801,0.010691227349196312,0.5710621803561077,0.004967047438253424,0.48938426834064996,0.009325745777849668,0.68562874251497,0.003934040653160786,6933.333333333333,294.65290314764144
CICIDS,bagging,Nierównowaga,1.0,0.7351715718534763,0.00395297252543502,0.6683597625257308,0.002656805661894176,0.6502257036535515,0.003890599708047501,0.6875387156721041,0.0014146386130543906,7165.0,110.10903686800643
CICIDS,bagging,Szum,0.05,0.7034873611592506,0.010448183676440632,0.5792529955372805,0.043743033164569775,0.6649866304426704,0.26404086752552636,0.6512320187211783,0.2973045734775083,12795.333333333334,18568.163730787524
CICIDS,bagging,Szum,0.15,0.6625785854965737,0.004223282005919623,0.5513287168037156,0.009872153190733056,0.4599586763693957,0.12675055365817584,0.8093124096634318,0.26511083097602256,21858.333333333332,13706.703335716189
CICIDS,max,Szum,0.15,0.6601038802236978,,0.5618154505811833,,0.3915235288139038,,0.994270080528598,,29934.0,
CICIDS,rank_mean,Dropout cech,0.1,0.7192719941219788,0.03023819090515632,0.7621345397729219,0.02977249248590599,0.6879858839484418,0.06258442673425094,0.8589717117489158,0.026554774408835264,7736.333333333333,2615.113827987863
CICIDS,rank_mean,Dropout cech,0.3,0.6183171623001873,0.015898848976219022,0.7352234448531934,0.015487115040847543,0.6865497845541078,0.02763698002014855,0.7919505815954299,0.01210026545265226,7031.666666666667,959.4281282792022
