dataset_name,model_type,fusion_strategy,AUC_ROC,AUC_PR,Precision,Recall,F1
CICIDS,Ensemble_with_LUNAR,rank_mean,0.8894211293601743,0.75137430473448,0.6813720819437827,0.7382820565765021,0.7086863881869084
CICIDS,Ensemble_with_LUNAR,rank_mean,0.8871533838350559,0.7554610188840274,0.6722175576079858,0.7439087342556266,0.7062484685126195
CICIDS,Ensemble_with_LUNAR,rank_mean,0.8857375474234842,0.7338477113288524,0.6436776530882743,0.7520648358455503,0.6936628100747513
CICIDS,Ensemble_without_LUNAR,rank_mean,0.8837562617710255,0.7393811425844201,0.7117448330683624,0.7395209580838323,0.7253670886075949
CICIDS,Ensemble_without_LUNAR,rank_mean,0.8803727273574375,0.7367846607892977,0.7296838531720772,0.7100970472847409,0.719757220594391
CICIDS,Ensemble_without_LUNAR,rank_mean,0.8808393473760516,0.7130026775891498,0.689162515273992,0.7569688209787322,0.7214760147601476
CICIDS,LUNAR_Self_Ensemble,bagging,0.8659928982050641,0.7344439097675839,0.6532360716733575,0.6887776171794342,0.6705362078496406
CICIDS,LUNAR_Self_Ensemble,bagging,0.8623942666488985,0.7344708599552279,0.6374892846937804,0.6909973157134008,0.6631657171166708
CICIDS,LUNAR_Self_Ensemble,bagging,0.8663843040202889,0.7364953826845728,0.6549523903013644,0.688829238075573,0.6714637950988779
CICIDS,LUNAR_Self_Ensemble,boosting,0.8667083560945033,0.7351375451312351,0.6535552936554705,0.6870225067107165,0.669871149587276
CICIDS,LUNAR_Self_Ensemble,boosting,0.866705370957902,0.7350852418723619,0.6425579043675061,0.688829238075573,0.6648895089563766
CICIDS,LUNAR_Self_Ensemble,boosting,0.8674633363921931,0.7378018595930628,0.6552929591334318,0.6870225067107165,0.6707827226450279
CICIDS,LUNAR_Self_Ensemble,stacking,0.8660648765237838,0.7342477551096702,0.6534600127332386,0.6887776171794342,0.670654168027946
CICIDS,LUNAR_Self_Ensemble,stacking,0.6145731566796813,0.5829569559554462,0.8686799805163176,0.4603035308692959,0.6017478152309613
CICIDS,LUNAR_Self_Ensemble,stacking,0.8667996522317564,0.7343552994476799,0.6580308328818402,0.6896551724137931,0.6734719596723377
CICIDS,LUNAR_Self_Ensemble,voting,0.7915203284192457,0.5462497707546047,0.679634102471864,0.682686351435061,0.681156807705184
CICIDS,LUNAR_Self_Ensemble,voting,0.7987139290771867,0.5580091887311952,0.6865733756437601,0.6812925872393145,0.6839227879258971
CICIDS,LUNAR_Self_Ensemble,voting,0.7920475660384758,0.5475192955838681,0.6814451612903226,0.6815506917200083,0.6814979224198002
UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.892302402769823,0.9255222884517782,0.8002111659376414,0.843102978568834,0.8210973169572283
UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.8921579947613689,0.9235354121989354,0.805749873906274,0.8341581910642935,0.8197079722027016
UNSW_NB15,Ensemble_with_LUNAR,stacking_lr,0.8904901006236309,0.9241424462004956,0.8243846833852883,0.8045087177624409,0.8143254360364914
UNSW_NB15,Ensemble_without_LUNAR,rank_mean,0.8732391466384489,0.90950250544525,0.8287539629167067,0.7833726843443516,0.8054245833527847
UNSW_NB15,Ensemble_without_LUNAR,rank_mean,0.8751294779153009,0.9095128787971596,0.8293899657924744,0.792635306937886,0.8105962109955424
UNSW_NB15,Ensemble_without_LUNAR,rank_mean,0.8758714328522705,0.9102366798669304,0.8427454604490846,0.7660052669814748,0.802545043705774
UNSW_NB15,LUNAR_Self_Ensemble,bagging,0.8837447987062621,0.9282932642353914,0.923726988911616,0.7791954231747185,0.8453278163637259
UNSW_NB15,LUNAR_Self_Ensemble,bagging,0.8928932703547419,0.9316400360567992,0.89827310605068,0.7782192154013803,0.8339476213066696
UNSW_NB15,LUNAR_Self_Ensemble,bagging,0.8879414162379157,0.9296896768728008,0.8948530922539553,0.7910007264802034,0.8397281403644076
UNSW_NB15,LUNAR_Self_Ensemble,boosting,0.8839843066121096,0.9286273921732446,0.9273373294637772,0.7761986923356339,0.8450634600887329
UNSW_NB15,LUNAR_Self_Ensemble,boosting,0.8926536235261253,0.9315552430201948,0.8978115581182021,0.7776970577551762,0.833448900891695
UNSW_NB15,LUNAR_Self_Ensemble,boosting,0.8869589477836898,0.9252807145795646,0.9008828875616725,0.7876180530330549,0.8404515613265825
UNSW_NB15,LUNAR_Self_Ensemble,stacking,0.8956107247508929,0.9336676478653604,0.9220545591236172,0.7796267707954958,0.8448801850120553
UNSW_NB15,LUNAR_Self_Ensemble,stacking,0.8929896701272279,0.931614357384876,0.9007146436011708,0.775426807119506,0.8333882321365395
UNSW_NB15,LUNAR_Self_Ensemble,stacking,0.8887341196624761,0.9303583639761392,0.8965428409500747,0.7900926262259353,0.8399584871961963
UNSW_NB15,LUNAR_Self_Ensemble,voting,0.8544124314645988,0.8507844592932758,0.8990455497788469,0.7890937159462404,0.8404889431621709
UNSW_NB15,LUNAR_Self_Ensemble,voting,0.8498960535006639,0.8442097026442898,0.896484375,0.7815337813294587,0.835071802833301
UNSW_NB15,LUNAR_Self_Ensemble,voting,0.8435726581389708,0.8330130215941286,0.8879728049925163,0.7946558300036324,0.8387266824014281
