dataset_name,fusion_strategy,feature_dropout,imbalance_factor_test,noise,AUC_ROC,F1
CICIDS,bagging,0.0,,,0.8655573185836275,0.6695772174131226
CICIDS,bagging,0.1,,,0.8699002027624663,0.6809370364687228
CICIDS,bagging,0.3,,,0.8303371520388207,0.6665080875356802
CICIDS,bagging,,0.25,,0.8693790541918396,0.4359893152648381
CICIDS,bagging,,0.5,,0.8663811707337248,0.5671845073419877
CICIDS,bagging,,1.0,,0.8654749259185479,0.6693594922100404
CICIDS,bagging,,,0.05,0.8539018403780946,0.6038681948424068
CICIDS,bagging,,,0.0,0.8654186893847834,0.6689072258032154
CICIDS,bagging,,,0.15,0.8392336828755168,0.5416502615445188
CICIDS,bagging,0.0,,,0.8587340259942358,0.6750861079219288
CICIDS,bagging,0.1,,,0.8687867953420726,0.6693335346063853
CICIDS,bagging,0.3,,,0.8306280823791714,0.6586323918445876
CICIDS,bagging,,0.25,,0.8637903761266668,0.4493231867465823
CICIDS,bagging,,0.5,,0.8681971708370415,0.5766608391608392
CICIDS,bagging,,1.0,,0.8668047455252956,0.6653481210725284
CICIDS,bagging,,,0.05,0.8688266493848656,0.5287482504048083
CICIDS,bagging,,,0.0,0.8660304342118057,0.6744577698392447
CICIDS,bagging,,,0.15,0.8367751806506587,0.5613837891844636
CICIDS,bagging,0.0,,,0.8661541624193037,0.6706565745467348
CICIDS,bagging,0.1,,,0.8703169477556207,0.6824168503049249
CICIDS,bagging,0.3,,,0.8305905987357789,0.6668781725888325
CICIDS,bagging,,0.25,,0.8699422181769828,0.4387046020715878
CICIDS,bagging,,0.5,,0.866930183843137,0.569341194565496
CICIDS,bagging,,1.0,,0.866077340703677,0.6703716742946235
CICIDS,bagging,,,0.05,0.8537372811043434,0.6051425413646263
CICIDS,bagging,,,0.0,0.866123383413152,0.6708421370359191
CICIDS,bagging,,,0.15,0.8268530510466465,0.5509520996821646
CICIDS,max,,,0.15,0.8330941355692175,0.5618154505811833
CICIDS,rank_mean,0.0,,,0.8985191458487815,0.7681775145055959
CICIDS,rank_mean,0.1,,,0.9046274462845358,0.7792213984313539
CICIDS,rank_mean,0.3,,,0.8709069324183193,0.7511709743963111
CICIDS,rank_mean,,0.25,,0.9008152093026568,0.4532498380479378
CICIDS,rank_mean,,0.5,,0.8982711909176757,0.6340055418719212
CICIDS,rank_mean,,1.0,,0.8985310067858676,0.7681775145055959
CICIDS,rank_mean,,,0.0,0.8985370251652363,0.7681402179982035
CICIDS,rank_mean,0.0,,,0.891950137769929,0.7718448928725495
CICIDS,rank_mean,0.1,,,0.900498907855505,0.7794257916825639
CICIDS,rank_mean,0.3,,,0.8611961127670379,0.7342573871525663
CICIDS,rank_mean,,0.25,,0.8939621768854425,0.4313645828043268
CICIDS,rank_mean,,0.5,,0.8913823666615258,0.6228739439502773
CICIDS,rank_mean,,1.0,,0.891821459735953,0.7700033639290692
CICIDS,rank_mean,,,0.0,0.8920303166999365,0.7721837482926361
CICIDS,rank_mean,0.0,,,0.8924215624450866,0.7409567238128645
CICIDS,rank_mean,0.1,,,0.8908113354025103,0.7277564292048477
CICIDS,rank_mean,0.3,,,0.8564763917040599,0.7202419730107027
CICIDS,rank_mean,,0.25,,0.8951038937202276,0.3744314892913256
CICIDS,rank_mean,,0.5,,0.8924816955782965,0.5749239432973008
CICIDS,rank_mean,,1.0,,0.8922904309966448,0.7408040685694244
CICIDS,rank_mean,,,0.0,0.8922990100714865,0.7408219178082192
CICIDS,rank_mean,,,0.15,0.8333493230282354,0.5664563013960604
CICIDS,stacking_lr,,,0.05,0.868729061131388,0.4594549723691388
CICIDS,weighted,,,0.05,0.86559048033501,0.4407435214888631
CICIDS,weighted,,,0.15,0.7999975412214839,0.3925032924729004
CICIDS,weighted,,,0.05,0.859428573027326,0.6049058831245491
UNSW_NB15,bagging,0.0,,,0.8843595837403012,0.8451609724856517
UNSW_NB15,bagging,0.1,,,0.8854110567126593,0.8325338894681961
UNSW_NB15,bagging,0.3,,,0.8870175848744364,0.8434518752275761
UNSW_NB15,bagging,,0.25,,0.882882000535565,0.7624092952855808
UNSW_NB15,bagging,,0.5,,0.8829362321958599,0.8075326563635937
UNSW_NB15,bagging,,1.0,,0.8836233360032774,0.8452369224706926
UNSW_NB15,bagging,,,0.05,0.8778104963421585,0.8411285327374085
UNSW_NB15,bagging,,,0.0,0.8842971543736889,0.8452254870569691
UNSW_NB15,bagging,,,0.15,0.8939718559999118,0.8405424731247955
UNSW_NB15,bagging,0.0,,,0.8935595679516023,0.8352118669827953
UNSW_NB15,bagging,0.1,,,0.8893528103207311,0.8272905347969103
UNSW_NB15,bagging,0.3,,,0.8937913438581425,0.842539797833061
UNSW_NB15,bagging,,0.25,,0.893854408796424,0.7311193742787537
UNSW_NB15,bagging,,0.5,,0.8931860046252088,0.7964803649991853
UNSW_NB15,bagging,,1.0,,0.8935813396754052,0.8349214085536737
UNSW_NB15,bagging,,,0.05,0.8830741837686151,0.8317229503491821
UNSW_NB15,bagging,,,0.0,0.8935647750295789,0.835230035988717
UNSW_NB15,bagging,,,0.15,0.8976108571114556,0.8027095154614579
UNSW_NB15,bagging,0.0,,,0.8875883263389003,0.8378332770840364
UNSW_NB15,bagging,0.1,,,0.8882690324370622,0.831037851037851
UNSW_NB15,bagging,0.3,,,0.8903391806103702,0.8449524644243995
UNSW_NB15,bagging,,0.25,,0.8876236493473721,0.7282767853407522
UNSW_NB15,bagging,,0.5,,0.8871484185496713,0.7978903921119009
UNSW_NB15,bagging,,1.0,,0.8880037916140882,0.8394206246090179
UNSW_NB15,bagging,,,0.05,0.8795492963455653,0.8419480204032063
UNSW_NB15,bagging,,,0.0,0.8880037991916938,0.8394345864661654
UNSW_NB15,bagging,,,0.15,0.8954756684549412,0.8386247539459224
UNSW_NB15,max,,,0.15,0.8948488659698988,0.8394077037072736
UNSW_NB15,rank_mean,0.0,,,0.8995009436947936,0.822453981592637
UNSW_NB15,rank_mean,0.1,,,0.8979370866087786,0.8104723961297666
UNSW_NB15,rank_mean,0.3,,,0.8898492299980715,0.8234171094113066
UNSW_NB15,rank_mean,,0.25,,0.8987482159285392,0.6193823072244374
UNSW_NB15,rank_mean,,0.5,,0.8974891468733547,0.7617458505313076
UNSW_NB15,rank_mean,,1.0,,0.8997166298187913,0.8224771388183489
UNSW_NB15,rank_mean,,,0.0,0.8996346615961572,0.8225004072528602
UNSW_NB15,rank_mean,0.0,,,0.9039991783450704,0.8162635557380871
UNSW_NB15,rank_mean,0.1,,,0.8971320357916379,0.808861706340476
UNSW_NB15,rank_mean,,0.25,,0.9036285475520416,0.5217716594343857
UNSW_NB15,rank_mean,,0.5,,0.902909583701908,0.7046992982144443
UNSW_NB15,rank_mean,,1.0,,0.9040452397678682,0.8162930077691454
UNSW_NB15,rank_mean,,,0.0,0.904011776745836,0.8162694404049599
UNSW_NB15,rank_mean,0.0,,,0.9083534943739208,0.816198972695323
UNSW_NB15,rank_mean,0.1,,,0.8957708285063987,0.8137305536310386
