dataset_name,fusion_strategy,run_index,delta_AUC_PR,delta_runtime_train,cost_benefit_ratio
CICIDS,rank_mean,,0.04245834129487758,167.30055260658264,0.00025378482397915884
CICIDS,rank_mean,,0.038371627145330156,203.1889326572418,0.00018884703336701427
CICIDS,rank_mean,,0.018676358094729673,167.84087777137756,0.00011127419221537586
CICIDS,rank_mean,,0.016079876299607276,176.62801146507263,9.103808714274631e-05
CICIDS,rank_mean,,0.014589643945182251,203.72925782203671,7.161290479900889e-05
CICIDS,rank_mean,,0.02084503373970259,320.1575071811676,6.510868329539749e-05
CICIDS,rank_mean,,0.011993162150059855,212.51639151573178,5.643405698977364e-05
UNSW_NB15,rank_mean,,0.014022533401775839,286.6455042362213,4.8919425543196476e-05
UNSW_NB15,rank_mean,,0.014032906753685404,302.45895552635193,4.639606960641897e-05
UNSW_NB15,rank_mean,,0.01329873233200507,307.191903591156,4.329128527327482e-05
UNSW_NB15,rank_mean,,0.01600940965461861,506.05416321754456,3.163576316185037e-05
UNSW_NB15,rank_mean,,0.016019783006528177,521.8676145076752,3.069702461157909e-05
UNSW_NB15,rank_mean,,0.015285608584847843,526.6005625724792,2.9026950731265107e-05
CICIDS,rank_mean,,-0.002936949460445315,320.6978323459625,-9.157995983200135e-06
CICIDS,rank_mean,,-0.005533431255567711,329.4849660396576,-1.6794184335869498e-05
