Zbiór,Wariant,AUC_ROC,AUC_PR,F1,runtime_train
CICIDS 2017,LUNAR,0.869 +/- 0.004,0.743 +/- 0.013,0.678 +/- 0.010,224.768 +/- 80.428
CICIDS 2017,Bagging,0.865 +/- 0.002,0.735 +/- 0.001,0.668 +/- 0.005,1182.462 +/- 397.006
CICIDS 2017,Boosting,0.867 +/- 0.000,0.736 +/- 0.002,0.669 +/- 0.003,1188.309 +/- 409.432
CICIDS 2017,Stacking,0.782 +/- 0.145,0.684 +/- 0.087,0.649 +/- 0.041,1193.973 +/- 375.173
CICIDS 2017,Voting,0.794 +/- 0.004,0.551 +/- 0.006,0.682 +/- 0.002,1247.424 +/- 368.040
UNSW-NB15,LUNAR,0.889 +/- 0.005,0.930 +/- 0.002,0.839 +/- 0.002,373.523 +/- 61.874
UNSW-NB15,Bagging,0.888 +/- 0.005,0.930 +/- 0.002,0.840 +/- 0.006,1878.448 +/- 308.017
UNSW-NB15,Boosting,0.888 +/- 0.004,0.928 +/- 0.003,0.840 +/- 0.006,1867.916 +/- 295.802
UNSW-NB15,Stacking,0.892 +/- 0.003,0.932 +/- 0.002,0.839 +/- 0.006,1868.921 +/- 299.742
UNSW-NB15,Voting,0.849 +/- 0.005,0.843 +/- 0.009,0.838 +/- 0.003,1868.709 +/- 298.064
