Zbiór,Liczba epok,AUC_PR,F1,runtime_train
CICIDS 2017,25,0.728 ± 0.002,0.664 ± 0.004,26.2 ± 5.6
CICIDS 2017,50,0.728 ± 0.003,0.664 ± 0.004,46.5 ± 9.5
CICIDS 2017,75,0.728 ± 0.003,0.664 ± 0.004,66.6 ± 14.6
CICIDS 2017,100,0.728 ± 0.003,0.665 ± 0.005,87.1 ± 18.8
CICIDS 2017,150,0.729 ± 0.004,0.666 ± 0.006,128.1 ± 28.0
CICIDS 2017,200,0.739 ± 0.011,0.676 ± 0.010,187.2 ± 36.3
CICIDS 2017,250,0.744 ± 0.016,0.680 ± 0.015,233.1 ± 46.6
CICIDS 2017,300,0.745 ± 0.015,0.681 ± 0.014,276.1 ± 53.3
UNSW-NB15,25,0.929 ± 0.001,0.841 ± 0.002,52.8 ± 21.3
UNSW-NB15,50,0.929 ± 0.001,0.841 ± 0.002,98.8 ± 41.9
UNSW-NB15,75,0.929 ± 0.002,0.840 ± 0.001,143.4 ± 63.0
UNSW-NB15,100,0.929 ± 0.002,0.840 ± 0.001,188.4 ± 83.6
UNSW-NB15,150,0.929 ± 0.002,0.840 ± 0.001,276.9 ± 123.7
UNSW-NB15,200,0.929 ± 0.002,0.840 ± 0.001,368.7 ± 165.7
UNSW-NB15,250,0.929 ± 0.002,0.840 ± 0.002,458.6 ± 207.4
UNSW-NB15,300,0.929 ± 0.002,0.839 ± 0.002,547.6 ± 249.1
