dataset_name,fusion_strategy,noise,imbalance_factor_test,AUC_ROC,F1
CICIDS,rank_mean,0.0,0.25,0.8557564641983662,0.2897234832851836
CICIDS,rank_mean,0.0,0.25,0.8537943218199446,0.2905554950836326
CICIDS,rank_mean,0.0,0.25,0.8516844007053382,0.2740530425243596
CICIDS,rank_mean,0.0,0.5,0.8538549662408126,0.4552525951557093
CICIDS,rank_mean,0.0,0.5,0.8500037926390407,0.4524415710730325
CICIDS,rank_mean,0.0,0.5,0.8493510856245343,0.4240070166645783
CICIDS,rank_mean,0.0,1.0,0.8531607491393918,0.628129500660919
CICIDS,rank_mean,0.0,1.0,0.8473447937058429,0.6028383816987927
CICIDS,rank_mean,0.0,1.0,0.8486369023356349,0.6013667425968109
CICIDS,rank_mean,0.05,0.25,0.7940720953026981,0.3800543662928984
CICIDS,rank_mean,0.05,0.25,0.79839355478322,0.3675157128680119
CICIDS,rank_mean,0.05,0.5,0.7937385348106298,0.5009155413138018
CICIDS,rank_mean,0.05,0.5,0.7978314738253891,0.4973150189361822
CICIDS,rank_mean,0.05,1.0,0.7937121347427383,0.5846785225718194
CICIDS,rank_mean,0.05,1.0,0.7971652383352816,0.5838999184117487
CICIDS,stacking_lr,0.15,0.25,0.8638004963016933,0.2661753787774631
CICIDS,stacking_lr,0.15,0.25,0.8579419979886753,0.2817883511074651
CICIDS,stacking_lr,0.15,0.25,0.8623504351201863,0.2722848865010829
CICIDS,stacking_lr,0.15,0.5,0.8627344066170326,0.4201957932666218
CICIDS,stacking_lr,0.15,0.5,0.8569336433661354,0.4391234877881762
CICIDS,stacking_lr,0.15,0.5,0.8612005734432084,0.4278483810365786
CICIDS,stacking_lr,0.15,1.0,0.8628155229786995,0.5918520217075595
CICIDS,stacking_lr,0.15,1.0,0.8574557046767612,0.6150838631248665
CICIDS,stacking_lr,0.15,1.0,0.8613093708590809,0.5990438320981541
CICIDS,weighted,0.05,0.25,0.8083380086282811,0.5072174106151455
CICIDS,weighted,0.05,0.5,0.8116460993763248,0.5649870641862758
CICIDS,weighted,0.05,1.0,0.8094762507504392,0.6008032657361074
UNSW_NB15,mean,0.05,0.25,0.8782159863310504,0.7080339119903108
UNSW_NB15,rank_mean,0.0,0.25,0.8879331591736878,0.6041263700838169
UNSW_NB15,rank_mean,0.0,0.25,0.8867074448439225,0.608284955229755
UNSW_NB15,rank_mean,0.0,0.5,0.886618187596175,0.7533559827643355
UNSW_NB15,rank_mean,0.0,0.5,0.8867372191506988,0.7504760327841709
UNSW_NB15,rank_mean,0.0,1.0,0.8873313725748428,0.8261804379421762
UNSW_NB15,rank_mean,0.0,1.0,0.8875324702294062,0.8238316089903674
UNSW_NB15,rank_mean,0.05,0.25,0.866733802231526,0.5343390882849518
UNSW_NB15,rank_mean,0.05,0.5,0.8649169588894488,0.6959975557592423
UNSW_NB15,rank_mean,0.05,0.5,0.8569848337558201,0.692282273461595
UNSW_NB15,rank_mean,0.05,1.0,0.8503329160396449,0.7961277043303213
UNSW_NB15,rank_mean,0.05,1.0,0.8643261351914956,0.7950401485770471
UNSW_NB15,stacking_lr,0.0,0.25,0.8782205960411194,0.63773282887078
UNSW_NB15,stacking_lr,0.0,0.5,0.8809930600650728,0.7497053375989223
UNSW_NB15,stacking_lr,0.0,1.0,0.8828382158675141,0.8195680815718623
UNSW_NB15,stacking_lr,0.05,0.5,0.883134393528256,0.782643903097375
UNSW_NB15,stacking_lr,0.15,0.25,0.8952885148576033,0.7427344923803392
UNSW_NB15,stacking_lr,0.15,0.25,0.8938635082378069,0.6088033102010231
UNSW_NB15,stacking_lr,0.15,0.5,0.8928490670239821,0.7306507621981126
UNSW_NB15,stacking_lr,0.15,0.5,0.8940716416991635,0.8055089485458613
UNSW_NB15,stacking_lr,0.15,1.0,0.8925140241398871,0.8346411551829159
UNSW_NB15,stacking_lr,0.15,1.0,0.8941624927699539,0.8142413172673246
UNSW_NB15,stacking_lr,0.15,1.0,0.8951340444203888,0.8440391611123318
UNSW_NB15,weighted,0.05,0.25,0.8833344303180364,0.7457172521197439
UNSW_NB15,weighted,0.05,1.0,0.8843338107250116,0.8391357697952506
UNSW_NB15,weighted,0.15,0.25,0.8882255650812457,0.6055759120599012
UNSW_NB15,weighted,0.15,0.5,0.891868702302509,0.7937807626845761
