Zbiór,Liczba epok,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train
CICIDS 2017,25,0.863 +/- 0.002,0.728 +/- 0.002,0.637 +/- 0.006,0.694 +/- 0.005,0.664 +/- 0.004,26.209 +/- 5.590
CICIDS 2017,50,0.863 +/- 0.002,0.728 +/- 0.003,0.637 +/- 0.007,0.694 +/- 0.005,0.664 +/- 0.004,46.499 +/- 9.503
CICIDS 2017,75,0.863 +/- 0.002,0.728 +/- 0.003,0.638 +/- 0.009,0.693 +/- 0.005,0.664 +/- 0.004,66.587 +/- 14.555
CICIDS 2017,100,0.863 +/- 0.002,0.728 +/- 0.003,0.643 +/- 0.010,0.690 +/- 0.001,0.665 +/- 0.005,87.098 +/- 18.803
CICIDS 2017,150,0.864 +/- 0.002,0.729 +/- 0.004,0.644 +/- 0.012,0.689 +/- 0.001,0.666 +/- 0.006,128.136 +/- 27.985
CICIDS 2017,200,0.868 +/- 0.003,0.739 +/- 0.011,0.667 +/- 0.023,0.686 +/- 0.004,0.676 +/- 0.010,187.196 +/- 36.298
CICIDS 2017,250,0.870 +/- 0.005,0.744 +/- 0.016,0.659 +/- 0.005,0.703 +/- 0.026,0.680 +/- 0.015,233.095 +/- 46.604
CICIDS 2017,300,0.871 +/- 0.006,0.745 +/- 0.015,0.660 +/- 0.003,0.703 +/- 0.027,0.681 +/- 0.014,276.144 +/- 53.336
UNSW-NB15,25,0.888 +/- 0.004,0.929 +/- 0.001,0.901 +/- 0.009,0.789 +/- 0.004,0.841 +/- 0.002,52.838 +/- 21.340
UNSW-NB15,50,0.888 +/- 0.004,0.929 +/- 0.001,0.899 +/- 0.013,0.790 +/- 0.006,0.841 +/- 0.002,98.810 +/- 41.894
UNSW-NB15,75,0.888 +/- 0.004,0.929 +/- 0.002,0.895 +/- 0.008,0.792 +/- 0.004,0.840 +/- 0.001,143.447 +/- 63.042
UNSW-NB15,100,0.889 +/- 0.004,0.929 +/- 0.002,0.898 +/- 0.005,0.790 +/- 0.002,0.840 +/- 0.001,188.412 +/- 83.570
UNSW-NB15,150,0.889 +/- 0.004,0.929 +/- 0.002,0.898 +/- 0.005,0.789 +/- 0.002,0.840 +/- 0.001,276.924 +/- 123.657
UNSW-NB15,200,0.889 +/- 0.004,0.929 +/- 0.002,0.896 +/- 0.006,0.790 +/- 0.003,0.840 +/- 0.001,368.721 +/- 165.711
UNSW-NB15,250,0.889 +/- 0.005,0.929 +/- 0.002,0.896 +/- 0.006,0.790 +/- 0.002,0.840 +/- 0.002,458.606 +/- 207.415
UNSW-NB15,300,0.889 +/- 0.005,0.929 +/- 0.002,0.896 +/- 0.007,0.789 +/- 0.002,0.839 +/- 0.002,547.554 +/- 249.081
