Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS 2017,LUNAR pojedynczy,0.869 +/- 0.004,0.743 +/- 0.013,0.670 +/- 0.020,0.687 +/- 0.001,0.678 +/- 0.010,224.768 +/- 80.428,8.400 +/- 1.295
CICIDS 2017,Bagging,0.865 +/- 0.002,0.735 +/- 0.001,0.649 +/- 0.010,0.690 +/- 0.001,0.668 +/- 0.005,1182.462 +/- 397.006,44.041 +/- 9.033
CICIDS 2017,Boosting,0.867 +/- 0.000,0.736 +/- 0.002,0.650 +/- 0.007,0.688 +/- 0.001,0.669 +/- 0.003,1188.309 +/- 409.432,44.614 +/- 10.114
CICIDS 2017,Stacking,0.782 +/- 0.145,0.684 +/- 0.087,0.727 +/- 0.123,0.613 +/- 0.132,0.649 +/- 0.041,1193.973 +/- 375.173,42.419 +/- 5.795
CICIDS 2017,Voting,--,--,0.683 +/- 0.004,0.682 +/- 0.001,0.682 +/- 0.002,1247.424 +/- 368.040,43.410 +/- 5.354
UNSW-NB15,LUNAR pojedynczy,0.889 +/- 0.005,0.930 +/- 0.002,0.896 +/- 0.006,0.790 +/- 0.002,0.839 +/- 0.002,373.523 +/- 61.874,12.340 +/- 1.117
UNSW-NB15,Bagging,0.888 +/- 0.005,0.930 +/- 0.002,0.906 +/- 0.016,0.783 +/- 0.007,0.840 +/- 0.006,1878.448 +/- 308.017,59.723 +/- 4.472
UNSW-NB15,Boosting,0.888 +/- 0.004,0.928 +/- 0.003,0.909 +/- 0.016,0.781 +/- 0.006,0.840 +/- 0.006,1867.916 +/- 295.802,59.762 +/- 4.685
UNSW-NB15,Stacking,0.892 +/- 0.003,0.932 +/- 0.002,0.906 +/- 0.014,0.782 +/- 0.008,0.839 +/- 0.006,1868.921 +/- 299.742,59.952 +/- 5.106
UNSW-NB15,Voting,--,--,0.895 +/- 0.006,0.788 +/- 0.007,0.838 +/- 0.003,1868.709 +/- 298.064,60.039 +/- 5.050
