Zbior,Wariant,Zaburzenie,Poziom,PR AUC,F1,FP
CICIDS 2017,LUNAR + LOF,Dropout cech,0.0,0.701,0.768,5998
CICIDS 2017,LUNAR + LOF,Dropout cech,0.0,0.672,0.772,6251
CICIDS 2017,LUNAR + LOF,Dropout cech,0.0,0.675,0.741,9343
CICIDS 2017,LUNAR + LOF,Dropout cech,0.1,0.737,0.779,6232
CICIDS 2017,LUNAR + LOF,Dropout cech,0.1,0.684,0.728,10756
CICIDS 2017,LUNAR + LOF,Dropout cech,0.1,0.737,0.779,6221
CICIDS 2017,LUNAR + LOF,Dropout cech,0.3,0.636,0.751,6357
CICIDS 2017,LUNAR + LOF,Dropout cech,0.3,0.604,0.734,6608
CICIDS 2017,LUNAR + LOF,Dropout cech,0.3,0.615,0.720,8130
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.25,0.370,0.453,9483
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.25,0.344,0.431,10601
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.25,0.345,0.374,14815
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.5,0.536,0.634,8061
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.5,0.510,0.575,12330
CICIDS 2017,LUNAR + LOF,Nierownowaga,0.5,0.507,0.623,8815
CICIDS 2017,LUNAR + LOF,Nierownowaga,1.0,0.701,0.768,5998
CICIDS 2017,LUNAR + LOF,Nierownowaga,1.0,0.668,0.770,6223
CICIDS 2017,LUNAR + LOF,Nierownowaga,1.0,0.675,0.741,9349
CICIDS 2017,LUNAR + LOF,Szum,0.0,0.701,0.768,6000
CICIDS 2017,LUNAR + LOF,Szum,0.0,0.672,0.772,6247
CICIDS 2017,LUNAR + LOF,Szum,0.0,0.675,0.741,9353
CICIDS 2017,LUNAR + LOF,Szum,0.15,0.665,0.566,3116
UNSW-NB15,LUNAR + LOF,Dropout cech,0.0,0.931,0.822,3035
UNSW-NB15,LUNAR + LOF,Dropout cech,0.0,0.935,0.816,9274
UNSW-NB15,LUNAR + LOF,Dropout cech,0.0,0.935,0.816,10688
UNSW-NB15,LUNAR + LOF,Dropout cech,0.1,0.930,0.810,9247
UNSW-NB15,LUNAR + LOF,Dropout cech,0.1,0.929,0.814,3038
UNSW-NB15,LUNAR + LOF,Dropout cech,0.1,0.930,0.809,10094
UNSW-NB15,LUNAR + LOF,Dropout cech,0.3,0.928,0.823,2790
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.25,0.833,0.619,9417
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.25,0.844,0.522,18625
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.25,0.839,0.511,20316
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.5,0.886,0.762,6176
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.5,0.892,0.704,16367
UNSW-NB15,LUNAR + LOF,Nierownowaga,0.5,0.894,0.705,14429
UNSW-NB15,LUNAR + LOF,Nierownowaga,1.0,0.931,0.822,3017
UNSW-NB15,LUNAR + LOF,Nierownowaga,1.0,0.935,0.816,9278
UNSW-NB15,LUNAR + LOF,Nierownowaga,1.0,0.935,0.819,11769
UNSW-NB15,LUNAR + LOF,Szum,0.0,0.931,0.823,2936
UNSW-NB15,LUNAR + LOF,Szum,0.0,0.935,0.816,9269
UNSW-NB15,LUNAR + LOF,Szum,0.0,0.935,0.815,10178
