,,,,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_PR,AUC_PR,AUC_PR,AUC_PR,AUC_PR,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1,F1,F1,F1,F1,runtime_train,runtime_train,runtime_train,runtime_train,runtime_train,runtime_inference,runtime_inference,runtime_inference,runtime_inference,runtime_inference
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
dataset_name,model_type,fusion_strategy,threshold_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICIDS,DBSCAN,none,standard,0.8820330387085813,,0.8820330387085813,0.8820330387085813,1,0.7469560546476379,,0.7469560546476379,0.7469560546476379,1,0.7399211563731931,,0.7399211563731931,0.7399211563731931,1,0.5813338839562254,,0.5813338839562254,0.5813338839562254,1,0.6511100832562442,,0.6511100832562442,0.6511100832562442,1,1846.54581284523,,1846.54581284523,1846.54581284523,1,11.357610702514648,,11.357610702514648,11.357610702514648,1
CICIDS,Ensemble_without_LUNAR,rank_mean,standard,0.8962036211774261,,0.8962036211774261,0.8962036211774261,1,0.7735692180190679,,0.7735692180190679,0.7735692180190679,1,0.7279778609292173,,0.7279778609292173,0.7279778609292173,1,0.7712987817468511,,0.7712987817468511,0.7712987817468511,1,0.7490124521264864,,0.7490124521264864,0.7490124521264864,1,443.1440098285675,,443.1440098285675,443.1440098285675,1,42.96958518028259,,42.96958518028259,42.96958518028259,1
CICIDS,IsolationForest,none,standard,0.8480897037056604,,0.8480897037056604,0.8480897037056604,1,0.6467477944690879,,0.6467477944690879,0.6467477944690879,1,0.5214415139923495,,0.5214415139923495,0.5214415139923495,1,0.6417509807970266,,0.6417509807970266,0.6417509807970266,1,0.5753744191643372,,0.5753744191643372,0.5753744191643372,1,6.028816223144531,,6.028816223144531,6.028816223144531,1,2.203552484512329,,2.203552484512329,2.203552484512329,1
CICIDS,LOF,none,standard,0.8727769500073639,,0.8727769500073639,0.8727769500073639,1,0.5769847637144871,,0.5769847637144871,0.5769847637144871,1,0.6369166515344108,,0.6369166515344108,0.6369166515344108,1,0.5793929382614083,,0.5793929382614083,0.5793929382614083,1,0.6067945418766083,,0.6067945418766083,0.6067945418766083,1,16.715723514556885,,16.715723514556885,16.715723514556885,1,10.942528009414673,,10.942528009414673,10.942528009414673,1
CICIDS,LUNAR,none,operational,0.8751551796271637,,0.8751551796271637,0.8751551796271637,1,0.7422720836663154,,0.7422720836663154,0.7422720836663154,1,0.44529687818812486,,0.44529687818812486,0.44529687818812486,1,0.9012595498657857,,0.9012595498657857,0.9012595498657857,1,0.5960805735745989,,0.5960805735745989,0.5960805735745989,1,1035.42760181427,,1035.42760181427,1035.42760181427,1,83.33062815666199,,83.33062815666199,83.33062815666199,1
CICIDS,LUNAR,none,recall_oriented,0.8751551796271637,,0.8751551796271637,0.8751551796271637,1,0.7422720836663154,,0.7422720836663154,0.7422720836663154,1,0.41974121191223707,,0.41974121191223707,0.41974121191223707,1,0.955151765434648,,0.955151765434648,0.955151765434648,1,0.5831967523134723,,0.5831967523134723,0.5831967523134723,1,1035.42760181427,,1035.42760181427,1035.42760181427,1,83.33062815666199,,83.33062815666199,83.33062815666199,1
CICIDS,LUNAR,none,standard,0.8751551796271637,,0.8751551796271637,0.8751551796271637,1,0.7422720836663154,,0.7422720836663154,0.7422720836663154,1,0.6805688386211485,,0.6805688386211485,0.6805688386211485,1,0.6759033656824283,,0.6759033656824283,0.6759033656824283,1,0.6782280788993867,,0.6782280788993867,0.6782280788993867,1,1035.42760181427,,1035.42760181427,1035.42760181427,1,83.33062815666199,,83.33062815666199,83.33062815666199,1
CICIDS,OneClassSVM,none,standard,0.7676179378258132,,0.7676179378258132,0.7676179378258132,1,0.6215261764491213,,0.6215261764491213,0.6215261764491213,1,0.24329076531996344,,0.24329076531996344,0.24329076531996344,1,0.999958703283089,,0.999958703283089,0.999958703283089,1,0.39136267395063923,,0.39136267395063923,0.39136267395063923,1,384.5918679237366,,384.5918679237366,384.5918679237366,1,9.069622039794922,,9.069622039794922,9.069622039794922,1
