Model,Run,AUC_ROC,AUC_PR,Precision,Recall,F1
Isolation Forest,1,0.818 ± 0.016,0.606 ± 0.012,0.653 ± 0.244,0.565 ± 0.183,0.569 ± 0.002
Isolation Forest,2,0.811 ± 0.001,0.601 ± 0.006,0.833 ± 0.009,0.413 ± 0.028,0.551 ± 0.023
Isolation Forest,3,0.817 ± 0.000,0.609 ± 0.005,0.629 ± 0.264,0.589 ± 0.246,0.556 ± 0.007
LOF,1,0.791 ± 0.094,0.480 ± 0.135,0.541 ± 0.063,0.714 ± 0.185,0.614 ± 0.110
LOF,2,0.788 ± 0.081,0.474 ± 0.113,0.549 ± 0.053,0.666 ± 0.070,0.602 ± 0.060
LOF,3,0.826 ± 0.023,0.477 ± 0.032,0.562 ± 0.021,0.730 ± 0.013,0.635 ± 0.018
One-Class SVM,1,0.768 ± 0.000,0.621 ± 0.002,0.335 ± 0.129,0.886 ± 0.161,0.470 ± 0.112
One-Class SVM,2,0.768 ± 0.000,0.621 ± 0.002,0.333 ± 0.126,0.887 ± 0.160,0.469 ± 0.109
One-Class SVM,3,0.767 ± 0.000,0.621 ± 0.002,0.331 ± 0.125,0.886 ± 0.161,0.468 ± 0.108
Zespół klasyczny,1,0.850 ± 0.048,0.687 ± 0.074,0.685 ± 0.038,0.625 ± 0.162,0.650 ± 0.107
Zespół klasyczny,2,0.848 ± 0.046,0.690 ± 0.066,0.585 ± 0.205,0.762 ± 0.073,0.645 ± 0.105
Zespół klasyczny,3,0.866 ± 0.020,0.695 ± 0.025,0.582 ± 0.151,0.822 ± 0.092,0.670 ± 0.072
