Model,Run,AUC_ROC,AUC_PR,Precision,Recall,F1
Isolation Forest,1,0.838 ± 0.009,0.883 ± 0.010,0.786 ± 0.005,0.797 ± 0.020,0.791 ± 0.008
Isolation Forest,2,0.846 ± 0.000,0.885 ± 0.003,0.778 ± 0.010,0.817 ± 0.001,0.797 ± 0.005
Isolation Forest,3,0.846 ± 0.000,0.886 ± 0.006,0.784 ± 0.013,0.798 ± 0.022,0.790 ± 0.005
LOF,1,0.888 ± 0.005,0.921 ± 0.005,0.834 ± 0.025,0.818 ± 0.021,0.826 ± 0.002
LOF,2,0.890 ± 0.000,0.924 ± 0.000,0.856 ± 0.001,0.800 ± 0.003,0.827 ± 0.001
LOF,3,0.891 ± 0.001,0.922 ± 0.003,0.843 ± 0.007,0.808 ± 0.005,0.825 ± 0.001
One-Class SVM,1,0.816 ± 0.000,0.847 ± 0.001,0.832 ± 0.000,0.746 ± 0.001,0.786 ± 0.000
One-Class SVM,2,0.819 ± 0.000,0.853 ± 0.000,0.799 ± 0.004,0.770 ± 0.004,0.784 ± 0.000
One-Class SVM,3,0.819 ± 0.001,0.852 ± 0.002,0.796 ± 0.001,0.773 ± 0.000,0.784 ± 0.000
Zespół klasyczny,1,0.872 ± 0.002,0.908 ± 0.002,0.820 ± 0.012,0.787 ± 0.005,0.803 ± 0.003
Zespół klasyczny,2,0.875 ± 0.001,0.910 ± 0.001,0.834 ± 0.006,0.784 ± 0.013,0.808 ± 0.004
Zespół klasyczny,3,0.875 ± 0.001,0.911 ± 0.000,0.836 ± 0.010,0.772 ± 0.009,0.803 ± 0.000
