Wariant,Run,ROC AUC,PR AUC,Precision,Recall,F1
LR(X),1,0.954 ± 0.001,0.874 ± 0.000,0.772 ± 0.005,0.864 ± 0.035,0.816 ± 0.013
LR(X),2,0.954 ± 0.001,0.873 ± 0.000,0.772 ± 0.006,0.864 ± 0.034,0.815 ± 0.012
LR(X),3,0.954 ± 0.001,0.873 ± 0.000,0.772 ± 0.006,0.864 ± 0.034,0.815 ± 0.012
LR(X + LUNAR),1,0.961 ± 0.001,0.879 ± 0.002,0.773 ± 0.032,0.895 ± 0.057,0.828 ± 0.006
LR(X + LUNAR),2,0.960 ± 0.000,0.882 ± 0.002,0.762 ± 0.046,0.895 ± 0.080,0.821 ± 0.007
LR(X + LUNAR),3,0.959 ± 0.001,0.880 ± 0.003,0.764 ± 0.041,0.886 ± 0.074,0.818 ± 0.008
LR(X + LUNAR + baseline),1,0.964 ± 0.005,0.889 ± 0.012,0.811 ± 0.025,0.870 ± 0.024,0.840 ± 0.025
LR(X + LUNAR + baseline),2,0.964 ± 0.004,0.891 ± 0.011,0.786 ± 0.013,0.896 ± 0.080,0.836 ± 0.028
LR(X + LUNAR + baseline),3,0.959 ± 0.001,0.879 ± 0.003,0.764 ± 0.041,0.886 ± 0.073,0.818 ± 0.008
Fuzja wyników,1,0.877 ± 0.030,0.688 ± 0.019,0.648 ± 0.109,0.762 ± 0.078,0.700 ± 0.096
Fuzja wyników,2,0.875 ± 0.025,0.680 ± 0.011,0.676 ± 0.063,0.769 ± 0.089,0.719 ± 0.075
Fuzja wyników,3,0.881 ± 0.016,0.705 ± 0.042,0.661 ± 0.024,0.787 ± 0.121,0.715 ± 0.036
