Wariant,Run,ROC AUC,PR AUC,Precision,Recall,F1
LR(X),1,0.946 ± 0.000,0.961 ± 0.000,0.815 ± 0.006,0.905 ± 0.005,0.858 ± 0.001
LR(X),2,0.946 ± 0.000,0.961 ± 0.000,0.815 ± 0.006,0.905 ± 0.005,0.858 ± 0.001
LR(X),3,0.946 ± 0.000,0.961 ± 0.000,0.815 ± 0.006,0.905 ± 0.005,0.858 ± 0.001
LR(X + LUNAR),1,0.952 ± 0.006,0.964 ± 0.003,0.814 ± 0.002,0.926 ± 0.022,0.866 ± 0.011
LR(X + LUNAR),2,0.948 ± 0.002,0.962 ± 0.001,0.812 ± 0.002,0.911 ± 0.001,0.859 ± 0.002
LR(X + LUNAR),3,0.954 ± 0.001,0.966 ± 0.000,0.816 ± 0.007,0.931 ± 0.017,0.870 ± 0.004
LR(X + LUNAR + baseline),1,0.951 ± 0.007,0.964 ± 0.004,0.815 ± 0.002,0.925 ± 0.023,0.866 ± 0.011
LR(X + LUNAR + baseline),2,0.948 ± 0.001,0.962 ± 0.001,0.808 ± 0.002,0.915 ± 0.004,0.858 ± 0.001
LR(X + LUNAR + baseline),3,0.954 ± 0.001,0.966 ± 0.000,0.817 ± 0.008,0.930 ± 0.018,0.870 ± 0.003
Fuzja wyników,1,0.897 ± 0.003,0.931 ± 0.001,0.893 ± 0.035,0.763 ± 0.025,0.822 ± 0.000
Fuzja wyników,2,0.904 ± 0.000,0.935 ± 0.000,0.799 ± 0.000,0.837 ± 0.003,0.817 ± 0.001
Fuzja wyników,3,0.906 ± 0.003,0.935 ± 0.001,0.785 ± 0.000,0.850 ± 0.005,0.816 ± 0.002
