Liczba epok,Run,PR AUC,F1,Czas uczenia [s]
25,1,0.717 ± 0.018,0.648 ± 0.025,42.3 ± 28.2
25,2,0.711 ± 0.019,0.641 ± 0.026,46.1 ± 31.7
25,3,0.731 ± 0.003,0.678 ± 0.016,46.2 ± 19.2
50,1,0.719 ± 0.014,0.653 ± 0.018,77.9 ± 53.8
50,2,0.711 ± 0.019,0.641 ± 0.026,84.9 ± 60.4
50,3,0.731 ± 0.003,0.678 ± 0.016,85.0 ± 39.0
75,1,0.719 ± 0.014,0.653 ± 0.018,112.4 ± 79.2
75,2,0.691 ± 0.047,0.650 ± 0.013,124.2 ± 90.5
75,3,0.732 ± 0.003,0.678 ± 0.015,124.2 ± 57.9
100,1,0.719 ± 0.014,0.654 ± 0.019,147.9 ± 103.8
100,2,0.699 ± 0.035,0.652 ± 0.011,151.1 ± 103.2
100,3,0.732 ± 0.003,0.679 ± 0.014,162.9 ± 76.6
150,1,0.720 ± 0.015,0.655 ± 0.020,218.4 ± 154.3
150,2,0.702 ± 0.031,0.653 ± 0.009,216.3 ± 143.5
150,3,0.733 ± 0.001,0.680 ± 0.013,241.2 ± 114.5
200,1,0.721 ± 0.016,0.655 ± 0.021,290.6 ± 205.1
200,2,0.716 ± 0.051,0.672 ± 0.022,312.2 ± 153.8
200,3,0.734 ± 0.000,0.680 ± 0.012,319.8 ± 151.8
250,1,0.721 ± 0.017,0.656 ± 0.022,360.8 ± 256.4
250,2,0.727 ± 0.050,0.676 ± 0.030,390.8 ± 190.6
250,3,0.735 ± 0.001,0.681 ± 0.011,398.7 ± 190.7
300,1,0.722 ± 0.018,0.656 ± 0.022,432.5 ± 307.0
300,2,0.723 ± 0.055,0.674 ± 0.031,465.3 ± 237.0
300,3,0.736 ± 0.002,0.681 ± 0.011,520.9 ± 290.8
