Liczba epok,Run,PR AUC,F1,Czas uczenia [s]
25,1,0.921 ± 0.010,0.841 ± 0.002,64.3 ± 18.6
25,2,0.930 ± 0.000,0.839 ± 0.002,37.7 ± 3.3
25,3,0.929 ± 0.001,0.840 ± 0.001,54.2 ± 18.7
50,1,0.921 ± 0.011,0.841 ± 0.003,118.9 ± 40.0
50,2,0.931 ± 0.001,0.838 ± 0.002,70.1 ± 7.3
50,3,0.930 ± 0.001,0.840 ± 0.001,98.5 ± 34.7
75,1,0.921 ± 0.010,0.840 ± 0.002,173.4 ± 60.5
75,2,0.932 ± 0.001,0.838 ± 0.002,99.9 ± 10.0
75,3,0.930 ± 0.002,0.841 ± 0.002,142.7 ± 50.3
100,1,0.921 ± 0.011,0.840 ± 0.002,228.0 ± 80.5
100,2,0.932 ± 0.001,0.838 ± 0.003,131.1 ± 12.7
100,3,0.931 ± 0.003,0.840 ± 0.000,187.8 ± 67.3
150,1,0.921 ± 0.009,0.840 ± 0.001,334.7 ± 120.3
150,2,0.932 ± 0.000,0.838 ± 0.003,191.6 ± 19.0
150,3,0.932 ± 0.004,0.839 ± 0.001,275.4 ± 98.2
200,1,0.921 ± 0.010,0.840 ± 0.001,444.0 ± 164.1
200,2,0.932 ± 0.000,0.816 ± 0.033,253.6 ± 25.9
200,3,0.932 ± 0.004,0.839 ± 0.001,365.4 ± 128.9
250,1,0.920 ± 0.011,0.840 ± 0.001,553.1 ± 205.1
250,2,0.932 ± 0.000,0.807 ± 0.044,316.1 ± 31.4
250,3,0.932 ± 0.004,0.839 ± 0.001,452.9 ± 160.6
300,1,0.920 ± 0.010,0.840 ± 0.002,660.6 ± 246.9
300,2,0.932 ± 0.000,0.810 ± 0.039,373.7 ± 43.2
300,3,0.931 ± 0.004,0.838 ± 0.001,539.9 ± 193.3
