Wariant,Run,n seedów,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
LUNAR pojedynczy,1,2,0.875 ± 0.013,0.921 ± 0.009,0.897 ± 0.008,0.791 ± 0.004,0.840 ± 0.001,252.5 ± 234.0,14.1 ± 0.8
LUNAR pojedynczy,2,2,0.894 ± 0.001,0.932 ± 0.000,0.779 ± 0.160,0.861 ± 0.102,0.807 ± 0.043,402.4 ± 3.8,11.9 ± 0.1
LUNAR pojedynczy,3,2,0.894 ± 0.005,0.932 ± 0.004,0.899 ± 0.009,0.785 ± 0.009,0.839 ± 0.001,489.8 ± 264.4,13.4 ± 2.8
Bagging,1,2,0.872 ± 0.016,0.923 ± 0.007,0.914 ± 0.014,0.782 ± 0.004,0.843 ± 0.003,1273.3 ± 1158.9,69.2 ± 6.0
Bagging,2,2,0.893 ± 0.000,0.932 ± 0.000,0.880 ± 0.026,0.791 ± 0.018,0.833 ± 0.001,1850.6 ± 235.5,57.0 ± 0.5
Bagging,3,2,0.891 ± 0.004,0.931 ± 0.002,0.906 ± 0.016,0.778 ± 0.019,0.837 ± 0.004,2452.2 ± 1310.6,67.0 ± 14.2
Boosting,1,2,0.875 ± 0.013,0.924 ± 0.006,0.889 ± 0.054,0.779 ± 0.003,0.830 ± 0.022,1268.4 ± 1152.2,69.1 ± 5.6
Boosting,2,2,0.893 ± 0.001,0.932 ± 0.000,0.901 ± 0.004,0.776 ± 0.002,0.834 ± 0.000,1844.2 ± 206.3,56.8 ± 0.5
Boosting,3,2,0.890 ± 0.005,0.929 ± 0.005,0.903 ± 0.003,0.782 ± 0.008,0.838 ± 0.003,2457.5 ± 1310.9,66.9 ± 14.0
Stacking,1,2,0.894 ± 0.002,0.933 ± 0.001,0.910 ± 0.017,0.784 ± 0.006,0.842 ± 0.004,1269.0 ± 1153.9,69.5 ± 5.1
Stacking,2,2,0.893 ± 0.000,0.932 ± 0.000,0.888 ± 0.019,0.786 ± 0.015,0.834 ± 0.000,1838.4 ± 221.6,56.7 ± 0.3
Stacking,3,2,0.891 ± 0.003,0.931 ± 0.001,0.905 ± 0.013,0.778 ± 0.018,0.837 ± 0.005,2454.0 ± 1311.3,67.2 ± 14.3
Voting,1,2,0.860 ± 0.008,0.868 ± 0.025,0.889 ± 0.015,0.790 ± 0.001,0.836 ± 0.006,1270.3 ± 1152.3,69.6 ± 5.3
Voting,2,2,0.855 ± 0.007,0.849 ± 0.006,0.873 ± 0.033,0.796 ± 0.020,0.832 ± 0.004,1844.5 ± 209.1,56.8 ± 0.5
Voting,3,2,0.847 ± 0.005,0.840 ± 0.010,0.901 ± 0.018,0.782 ± 0.018,0.837 ± 0.002,2470.6 ± 1332.0,67.0 ± 14.1
