Zbiór,Model,Run,AUC_ROC,AUC_PR,Precision,Recall,F1
CICIDS 2017,Isolation Forest,1,0.818 ± 0.016,0.606 ± 0.012,0.653 ± 0.244,0.565 ± 0.183,0.569 ± 0.002
CICIDS 2017,Isolation Forest,2,0.811 ± 0.001,0.601 ± 0.006,0.833 ± 0.009,0.413 ± 0.028,0.551 ± 0.023
CICIDS 2017,Isolation Forest,3,0.817 ± 0.000,0.609 ± 0.005,0.629 ± 0.264,0.589 ± 0.246,0.556 ± 0.007
CICIDS 2017,LOF,1,0.791 ± 0.094,0.480 ± 0.135,0.541 ± 0.063,0.714 ± 0.185,0.614 ± 0.110
CICIDS 2017,LOF,2,0.788 ± 0.081,0.474 ± 0.113,0.549 ± 0.053,0.666 ± 0.070,0.602 ± 0.060
CICIDS 2017,LOF,3,0.826 ± 0.023,0.477 ± 0.032,0.562 ± 0.021,0.730 ± 0.013,0.635 ± 0.018
CICIDS 2017,One-Class SVM,1,0.768 ± 0.000,0.621 ± 0.002,0.335 ± 0.129,0.886 ± 0.161,0.470 ± 0.112
CICIDS 2017,One-Class SVM,2,0.768 ± 0.000,0.621 ± 0.002,0.333 ± 0.126,0.887 ± 0.160,0.469 ± 0.109
CICIDS 2017,One-Class SVM,3,0.767 ± 0.000,0.621 ± 0.002,0.331 ± 0.125,0.886 ± 0.161,0.468 ± 0.108
CICIDS 2017,LUNAR,1,0.859 ± 0.010,0.722 ± 0.018,0.619 ± 0.053,0.700 ± 0.017,0.656 ± 0.022
CICIDS 2017,LUNAR,2,0.869 ± 0.007,0.739 ± 0.026,0.664 ± 0.042,0.696 ± 0.014,0.679 ± 0.015
CICIDS 2017,LUNAR,3,0.869 ± 0.002,0.736 ± 0.003,0.670 ± 0.011,0.694 ± 0.010,0.682 ± 0.011
