Zbiór,Model,Run,Czas treningu [s],Czas inferencji [s]
CICIDS2017,Isolation Forest,1,0.7 ± 0.1,1.4 ± 0.3
CICIDS2017,Isolation Forest,2,0.6 ± 0.1,1.3 ± 0.3
CICIDS2017,Isolation Forest,3,0.6 ± 0.1,1.2 ± 0.4
CICIDS2017,LOF,1,7.6 ± 8.4,14.2 ± 15.5
CICIDS2017,LOF,2,10.3 ± 0.6,20.0 ± 0.3
CICIDS2017,LOF,3,5.5 ± 5.9,10.9 ± 11.6
CICIDS2017,One-Class SVM,1,0.8 ± 0.0,1.7 ± 0.0
CICIDS2017,One-Class SVM,2,0.8 ± 0.0,1.7 ± 0.1
CICIDS2017,One-Class SVM,3,0.8 ± 0.0,1.8 ± 0.0
CICIDS2017,LUNAR,1,232.7 ± 56.6,9.6 ± 2.9
CICIDS2017,LUNAR,2,138.2 ± 38.4,9.0 ± 1.9
CICIDS2017,LUNAR,3,240.5 ± 107.2,10.0 ± 0.1
UNSW-NB15,Isolation Forest,1,2.7 ± 1.2,6.0 ± 2.7
UNSW-NB15,Isolation Forest,2,2.0 ± 0.7,4.9 ± 1.9
UNSW-NB15,Isolation Forest,3,2.4 ± 0.6,5.4 ± 0.8
UNSW-NB15,LOF,1,29.3 ± 0.1,57.6 ± 0.3
UNSW-NB15,LOF,2,29.4 ± 0.2,57.7 ± 0.3
UNSW-NB15,LOF,3,32.5 ± 4.3,63.8 ± 8.7
UNSW-NB15,One-Class SVM,1,73.4 ± 1.7,58.8 ± 0.4
UNSW-NB15,One-Class SVM,2,69.6 ± 1.7,53.7 ± 1.4
UNSW-NB15,One-Class SVM,3,69.7 ± 0.3,51.3 ± 0.3
UNSW-NB15,LUNAR,1,252.5 ± 234.0,14.1 ± 0.8
UNSW-NB15,LUNAR,2,402.4 ± 3.8,11.9 ± 0.1
UNSW-NB15,LUNAR,3,489.8 ± 264.4,13.4 ± 2.8
