Zbiór,Liczba epok,AUC_PR,F1,runtime_train
CICIDS 2017,25,0.720 ± 0.015,0.656 ± 0.025,44.9 ± 20.9
CICIDS 2017,50,0.721 ± 0.014,0.657 ± 0.023,82.6 ± 40.3
CICIDS 2017,75,0.714 ± 0.029,0.661 ± 0.018,120.2 ± 60.0
CICIDS 2017,100,0.717 ± 0.023,0.661 ± 0.018,154.0 ± 74.2
CICIDS 2017,150,0.719 ± 0.021,0.662 ± 0.018,225.3 ± 108.0
CICIDS 2017,200,0.724 ± 0.025,0.669 ± 0.018,307.6 ± 133.9
CICIDS 2017,250,0.728 ± 0.024,0.671 ± 0.021,383.4 ± 167.4
CICIDS 2017,300,0.727 ± 0.027,0.671 ± 0.021,472.9 ± 220.4
UNSW-NB15,25,0.927 ± 0.006,0.840 ± 0.002,52.1 ± 16.9
UNSW-NB15,50,0.927 ± 0.007,0.840 ± 0.002,95.8 ± 32.4
UNSW-NB15,75,0.927 ± 0.007,0.840 ± 0.002,138.7 ± 48.5
UNSW-NB15,100,0.928 ± 0.007,0.839 ± 0.002,182.3 ± 64.3
UNSW-NB15,150,0.928 ± 0.007,0.839 ± 0.002,267.2 ± 95.0
UNSW-NB15,200,0.928 ± 0.008,0.831 ± 0.019,354.3 ± 127.2
UNSW-NB15,250,0.928 ± 0.008,0.829 ± 0.026,440.7 ± 158.4
UNSW-NB15,300,0.928 ± 0.008,0.829 ± 0.023,524.7 ± 191.4
