Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1
CICIDS 2017,Fuzja cech,0.960 ± 0.000,0.882 ± 0.002,0.794 ± 0.001,0.842 ± 0.010,0.817 ± 0.005
CICIDS 2017,Fuzja wyników,0.878 ± 0.019,0.691 ± 0.024,0.662 ± 0.059,0.772 ± 0.077,0.711 ± 0.058
CICIDS 2017,Decyzja AND,0.736 ± 0.034,0.516 ± 0.034,0.767 ± 0.063,0.527 ± 0.084,0.619 ± 0.048
CICIDS 2017,Decyzja OR,0.811 ± 0.030,0.512 ± 0.026,0.572 ± 0.028,0.819 ± 0.088,0.671 ± 0.027
CICIDS 2017,LR(X) - bez LUNAR,0.954 ± 0.001,0.873 ± 0.000,0.772 ± 0.004,0.864 ± 0.027,0.815 ± 0.009
CICIDS 2017,LR(X + LUNAR),0.960 ± 0.001,0.880 ± 0.002,0.766 ± 0.031,0.892 ± 0.055,0.823 ± 0.007
CICIDS 2017,LR(X + LUNAR + baseline),0.962 ± 0.004,0.886 ± 0.009,0.787 ± 0.031,0.884 ± 0.051,0.831 ± 0.020
UNSW-NB15,Fuzja cech,0.950 ± 0.004,0.963 ± 0.002,0.811 ± 0.003,0.923 ± 0.018,0.863 ± 0.008
UNSW-NB15,Fuzja wyników,0.903 ± 0.005,0.933 ± 0.002,0.826 ± 0.055,0.816 ± 0.044,0.819 ± 0.003
UNSW-NB15,Decyzja AND,0.831 ± 0.005,0.822 ± 0.010,0.913 ± 0.019,0.751 ± 0.014,0.824 ± 0.000
UNSW-NB15,Decyzja OR,0.793 ± 0.058,0.764 ± 0.054,0.799 ± 0.070,0.870 ± 0.044,0.830 ± 0.024
UNSW-NB15,LR(X) - bez LUNAR,0.946 ± 0.000,0.961 ± 0.000,0.815 ± 0.005,0.905 ± 0.004,0.858 ± 0.001
UNSW-NB15,LR(X + LUNAR),0.951 ± 0.004,0.964 ± 0.002,0.814 ± 0.004,0.923 ± 0.016,0.865 ± 0.007
UNSW-NB15,LR(X + LUNAR + baseline),0.951 ± 0.004,0.964 ± 0.002,0.814 ± 0.006,0.923 ± 0.015,0.865 ± 0.008
