Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS 2017,LUNAR pojedynczy,0.866 ± 0.008,0.732 ± 0.016,0.651 ± 0.039,0.696 ± 0.011,0.672 ± 0.018,203.8 ± 76.4,9.5 ± 1.6
CICIDS 2017,Bagging,0.858 ± 0.008,0.716 ± 0.023,0.619 ± 0.047,0.683 ± 0.037,0.647 ± 0.024,1057.6 ± 389.1,48.4 ± 7.7
CICIDS 2017,Boosting,0.863 ± 0.007,0.726 ± 0.013,0.632 ± 0.037,0.699 ± 0.013,0.663 ± 0.017,1057.0 ± 397.1,48.1 ± 7.8
CICIDS 2017,Stacking,0.820 ± 0.101,0.696 ± 0.059,0.666 ± 0.109,0.658 ± 0.098,0.648 ± 0.029,1077.4 ± 360.5,47.8 ± 7.2
CICIDS 2017,Voting,0.806 ± 0.028,0.557 ± 0.042,0.669 ± 0.035,0.661 ± 0.064,0.663 ± 0.036,1097.5 ± 376.5,48.0 ± 6.4
UNSW-NB15,LUNAR pojedynczy,0.888 ± 0.012,0.928 ± 0.007,0.858 ± 0.095,0.812 ± 0.059,0.829 ± 0.025,381.6 ± 191.0,13.2 ± 1.7
UNSW-NB15,Bagging,0.885 ± 0.013,0.929 ± 0.005,0.900 ± 0.022,0.784 ± 0.014,0.838 ± 0.005,1858.7 ± 949.3,64.4 ± 9.0
UNSW-NB15,Boosting,0.886 ± 0.011,0.928 ± 0.005,0.898 ± 0.025,0.779 ± 0.005,0.834 ± 0.011,1856.7 ± 949.0,64.2 ± 8.9
UNSW-NB15,Stacking,0.893 ± 0.002,0.932 ± 0.001,0.901 ± 0.016,0.782 ± 0.011,0.837 ± 0.005,1853.8 ± 949.2,64.4 ± 9.1
UNSW-NB15,Voting,0.854 ± 0.008,0.852 ± 0.018,0.887 ± 0.022,0.789 ± 0.013,0.835 ± 0.004,1861.8 ± 957.8,64.5 ± 9.1
