number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8107932285193019,2026-08-03 17:04:16.831192,2026-08-03 17:04:17.873089,0 days 00:00:01.041897,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.807517790037579,2026-08-03 17:04:17.952416,2026-08-03 17:04:18.981995,0 days 00:00:01.029579,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.8036248185864401,2026-08-03 17:04:19.058387,2026-08-03 17:04:19.266894,0 days 00:00:00.208507,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8105806203071735,2026-08-03 17:04:19.343074,2026-08-03 17:04:20.399212,0 days 00:00:01.056138,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.8171487603305784,2026-08-03 17:04:20.462600,2026-08-03 17:04:21.060539,0 days 00:00:00.597939,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.7970312382641478,2026-08-03 17:04:21.124123,2026-08-03 17:04:21.334922,0 days 00:00:00.210799,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.809146877748461,2026-08-03 17:04:21.413248,2026-08-03 17:04:21.991182,0 days 00:00:00.577934,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.81766574354725,2026-08-03 17:04:22.070426,2026-08-03 17:04:22.429085,0 days 00:00:00.358659,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.8053786849061495,2026-08-03 17:04:22.508474,2026-08-03 17:04:22.925188,0 days 00:00:00.416714,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.7918668575900525,2026-08-03 17:04:23.003930,2026-08-03 17:04:24.051296,0 days 00:00:01.047366,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.8158788654111273,2026-08-03 17:04:24.127591,2026-08-03 17:04:24.829073,0 days 00:00:00.701482,True,0.011337018004626664,0.6172370043294497,0.980940670746889,400,COMPLETE
11,0.8079578466361867,2026-08-03 17:04:24.905292,2026-08-03 17:04:25.509573,0 days 00:00:00.604281,True,0.22255448277235973,0.9815307015760056,0.5884838388259341,300,COMPLETE
12,0.8078330680273593,2026-08-03 17:04:25.586052,2026-08-03 17:04:26.105823,0 days 00:00:00.519771,True,0.46637058886210286,0.6017105956599174,0.6473909544375284,300,COMPLETE
13,0.8011631668084055,2026-08-03 17:04:26.182265,2026-08-03 17:04:26.558131,0 days 00:00:00.375866,True,0.23716852836872562,0.8112975682905497,0.956211899868848,200,COMPLETE
14,0.8106278665765353,2026-08-03 17:04:26.641392,2026-08-03 17:04:27.044266,0 days 00:00:00.402874,True,0.26800355050215807,0.9475603448090958,0.4348534525622874,200,COMPLETE
15,0.8050258521894407,2026-08-03 17:04:27.120541,2026-08-03 17:04:27.877635,0 days 00:00:00.757094,True,0.4995878489437907,0.7881414927805465,0.7435483999097142,400,COMPLETE
16,0.8061061563100422,2026-08-03 17:04:27.953937,2026-08-03 17:04:28.641451,0 days 00:00:00.687514,True,0.4152999609994896,0.6313256019978641,0.5560447877381338,400,COMPLETE
17,0.8013170200445326,2026-08-03 17:04:28.717711,2026-08-03 17:04:29.099907,0 days 00:00:00.382196,True,0.2850500122360701,0.8676335101105134,0.22693756740704535,200,COMPLETE
18,0.7998372426592621,2026-08-03 17:04:29.176150,2026-08-03 17:04:29.696916,0 days 00:00:00.520766,True,0.032595842194388824,0.5436644516676832,0.9775307139174161,300,COMPLETE
19,0.7912626504914824,2026-08-03 17:04:29.773373,2026-08-03 17:04:29.980650,0 days 00:00:00.207277,False,0.16253196336967857,0.6703721898480715,0.6942912340716344,100,COMPLETE
20,0.7965339409930439,2026-08-03 17:04:30.058047,2026-08-03 17:04:30.974777,0 days 00:00:00.916730,True,0.09459844260231048,0.83969149076499,0.30583542315998835,500,COMPLETE
21,0.819159755385469,2026-08-03 17:04:31.058048,2026-08-03 17:04:31.752522,0 days 00:00:00.694474,True,0.012206376708032976,0.5960891170297734,0.984108374913874,400,COMPLETE
22,0.8047011855179282,2026-08-03 17:04:31.829151,2026-08-03 17:04:32.516558,0 days 00:00:00.687407,True,0.0707500053046892,0.5864094534201154,0.91049756644831,400,COMPLETE
23,0.8057669523248798,2026-08-03 17:04:32.591777,2026-08-03 17:04:33.447058,0 days 00:00:00.855281,True,0.2041018150439031,0.5619427109719923,0.7938360735694489,500,COMPLETE
24,0.8110576259113078,2026-08-03 17:04:33.530171,2026-08-03 17:04:34.092814,0 days 00:00:00.562643,True,0.2948134515134695,0.7458845317641103,0.8985197128937831,300,COMPLETE
25,0.8101475295046895,2026-08-03 17:04:34.168902,2026-08-03 17:04:34.509589,0 days 00:00:00.340687,True,0.1232458191437362,0.5170010363547989,0.9864874830030091,200,COMPLETE
26,0.8119362248050183,2026-08-03 17:04:34.585718,2026-08-03 17:04:35.342856,0 days 00:00:00.757138,False,0.04023831521459337,0.6601794672047797,0.740761858979013,400,COMPLETE
27,0.7961862569082526,2026-08-03 17:04:35.419187,2026-08-03 17:04:35.926269,0 days 00:00:00.507082,True,0.41196815156593797,0.5867944852894882,0.5814959312512606,300,COMPLETE
