number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8349925187345973,2026-08-06 00:05:24.457495,2026-08-06 00:05:26.068658,0 days 00:00:01.611163,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.8415092128235894,2026-08-06 00:05:26.145204,2026-08-06 00:05:27.908993,0 days 00:00:01.763789,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.8550500337689771,2026-08-06 00:05:27.985652,2026-08-06 00:05:28.318600,0 days 00:00:00.332948,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8418019970398258,2026-08-06 00:05:28.394996,2026-08-06 00:05:29.957901,0 days 00:00:01.562905,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.827430872389191,2026-08-06 00:05:30.040116,2026-08-06 00:05:31.061774,0 days 00:00:01.021658,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.8213843394572535,2026-08-06 00:05:31.131229,2026-08-06 00:05:31.464474,0 days 00:00:00.333245,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.8436305512246643,2026-08-06 00:05:31.540901,2026-08-06 00:05:32.464552,0 days 00:00:00.923651,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.8404112720127029,2026-08-06 00:05:32.548014,2026-08-06 00:05:33.103491,0 days 00:00:00.555477,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.8413592282711002,2026-08-06 00:05:33.186467,2026-08-06 00:05:33.901979,0 days 00:00:00.715512,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.8144657406542559,2026-08-06 00:05:33.985117,2026-08-06 00:05:35.665917,0 days 00:00:01.680800,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.8363994097613898,2026-08-06 00:05:35.749228,2026-08-06 00:05:37.006101,0 days 00:00:01.256873,True,0.01088898238999464,0.793723922615648,0.46534561797971163,400,COMPLETE
11,0.8266477195163133,2026-08-06 00:05:37.082741,2026-08-06 00:05:37.381183,0 days 00:00:00.298442,True,0.17613523667310105,0.6802127902865528,0.49896956226285655,100,COMPLETE
12,0.8226780684863595,2026-08-06 00:05:37.464486,2026-08-06 00:05:38.471384,0 days 00:00:01.006898,False,0.18185111762514172,0.9951904757103547,0.2294844113946464,300,COMPLETE
13,0.8475687683663718,2026-08-06 00:05:38.547759,2026-08-06 00:05:39.436891,0 days 00:00:00.889132,False,0.10034763920690128,0.6303737695253201,0.6074150947664118,300,COMPLETE
14,0.8404898567333186,2026-08-06 00:05:39.513363,2026-08-06 00:05:40.061741,0 days 00:00:00.548378,True,0.07511521596840212,0.5978304265968815,0.5540874623270388,200,COMPLETE
15,0.8397017642494305,2026-08-06 00:05:40.131286,2026-08-06 00:05:41.270186,0 days 00:00:01.138900,False,0.10415659011487052,0.6247952783541537,0.39342486602754495,400,COMPLETE
16,0.8469486226568281,2026-08-06 00:05:41.346415,2026-08-06 00:05:41.686747,0 days 00:00:00.340332,False,0.022236396102062975,0.7965210769860325,0.5903935162906295,100,COMPLETE
17,0.8361964366544286,2026-08-06 00:05:41.756323,2026-08-06 00:05:43.061769,0 days 00:00:01.305446,False,0.24773198312171874,0.7976561519123222,0.31855796168167877,400,COMPLETE
18,0.8348393907932835,2026-08-06 00:05:43.142511,2026-08-06 00:05:43.871449,0 days 00:00:00.728938,True,0.12331830821690391,0.9589118423094496,0.6271210332198585,200,COMPLETE
19,0.8359346372708918,2026-08-06 00:05:43.943831,2026-08-06 00:05:45.381271,0 days 00:00:01.437440,False,0.23057452994001207,0.6290764929322641,0.4556912676515678,500,COMPLETE
20,0.8439179467743443,2026-08-06 00:05:45.464588,2026-08-06 00:05:46.478692,0 days 00:00:01.014104,False,0.05691321535518859,0.8333515850250947,0.7088226682613574,300,COMPLETE
21,0.8196604152147203,2026-08-06 00:05:46.554784,2026-08-06 00:05:46.881286,0 days 00:00:00.326502,False,0.01108330631716846,0.7633947414867178,0.5793160490235061,100,COMPLETE
22,0.824612150724596,2026-08-06 00:05:46.971359,2026-08-06 00:05:47.304828,0 days 00:00:00.333469,False,0.04321483710640857,0.8249510704735856,0.5306489355919555,100,COMPLETE
23,0.8496456502683556,2026-08-06 00:05:47.374236,2026-08-06 00:05:47.742392,0 days 00:00:00.368156,False,0.13719183993773162,0.9271916062584536,0.6194118392431391,100,COMPLETE
24,0.8356256870549859,2026-08-06 00:05:47.818578,2026-08-06 00:05:48.561855,0 days 00:00:00.743277,False,0.13431836599105582,0.9329378688276644,0.4040928480614424,200,COMPLETE
25,0.839250463425324,2026-08-06 00:05:48.638234,2026-08-06 00:05:48.992390,0 days 00:00:00.354156,False,0.1445418491302726,0.9955443523728563,0.3007258965909822,100,COMPLETE
26,0.8376334144028279,2026-08-06 00:05:49.068667,2026-08-06 00:05:49.777025,0 days 00:00:00.708358,True,0.20393866586468537,0.9394022099190326,0.7431309031369626,200,COMPLETE
27,0.8422407243086341,2026-08-06 00:05:49.846394,2026-08-06 00:05:51.596510,0 days 00:00:01.750116,False,0.2701896900791996,0.8608117924138732,0.6535674400350933,500,COMPLETE
28,0.8398234583024982,2026-08-06 00:05:51.674794,2026-08-06 00:05:52.596569,0 days 00:00:00.921775,False,0.10375621629112874,0.6931836213651282,0.6137801865794563,300,COMPLETE
29,0.8460913756187985,2026-08-06 00:05:52.672153,2026-08-06 00:05:52.943514,0 days 00:00:00.271361,False,0.1485446981442114,0.5499823462533091,0.43102309113255427,100,COMPLETE
