number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8074729666538253,2026-08-03 16:55:05.863813,2026-08-03 16:55:07.340614,0 days 00:00:01.476801,0.2757254682642995,30,minkowski,48,2.0,COMPLETE
1,0.752030681000458,2026-08-03 16:55:07.413416,2026-08-03 16:55:07.878661,0 days 00:00:00.465245,0.03860487984774338,50,minkowski,10,1.0,COMPLETE
2,0.8058829479733773,2026-08-03 16:55:07.957224,2026-08-03 16:55:08.450554,0 days 00:00:00.493330,0.40648517584940247,60,minkowski,38,1.0,COMPLETE
3,0.7442716927005726,2026-08-03 16:55:08.523008,2026-08-03 16:55:08.990185,0 days 00:00:00.467177,0.3695652622191061,40,manhattan,20,,COMPLETE
4,0.8211044239468323,2026-08-03 16:55:09.064429,2026-08-03 16:55:09.115659,0 days 00:00:00.051230,0.24453541449540095,40,euclidean,7,,COMPLETE
5,0.7529201828794058,2026-08-03 16:55:09.178280,2026-08-03 16:55:09.650028,0 days 00:00:00.471748,0.21965777027202094,50,manhattan,21,,COMPLETE
6,0.738173592485178,2026-08-03 16:55:09.728415,2026-08-03 16:55:10.201171,0 days 00:00:00.472756,0.06573318968051038,60,manhattan,12,,COMPLETE
7,0.7718789599036661,2026-08-03 16:55:10.263910,2026-08-03 16:55:10.721331,0 days 00:00:00.457421,0.4037301823363769,60,minkowski,9,1.0,COMPLETE
8,0.8124289791656066,2026-08-03 16:55:10.783854,2026-08-03 16:55:11.248745,0 days 00:00:00.464891,0.33026349906138686,30,manhattan,5,,COMPLETE
9,0.752167574037327,2026-08-03 16:55:11.311520,2026-08-03 16:55:11.374067,0 days 00:00:00.062547,0.24317566187629008,40,euclidean,16,,COMPLETE
10,0.7710539673540393,2026-08-03 16:55:11.438965,2026-08-03 16:55:11.548459,0 days 00:00:00.109494,0.4896162581121494,10,euclidean,90,,COMPLETE
11,0.8305615521974362,2026-08-03 16:55:11.626819,2026-08-03 16:55:11.693504,0 days 00:00:00.066685,0.17842167096072603,20,euclidean,5,,COMPLETE
12,0.8305615521974362,2026-08-03 16:55:11.757175,2026-08-03 16:55:11.829717,0 days 00:00:00.072542,0.11663456491733873,10,euclidean,5,,COMPLETE
13,0.8305615521974362,2026-08-03 16:55:11.906298,2026-08-03 16:55:11.966785,0 days 00:00:00.060487,0.146971342102369,10,euclidean,5,,COMPLETE
14,0.8305615521974362,2026-08-03 16:55:12.029340,2026-08-03 16:55:12.095777,0 days 00:00:00.066437,0.1195185861750207,20,euclidean,5,,COMPLETE
15,0.8211044239468323,2026-08-03 16:55:12.154664,2026-08-03 16:55:12.217199,0 days 00:00:00.062535,0.15887375099808954,20,euclidean,7,,COMPLETE
16,0.8227189743440643,2026-08-03 16:55:12.287757,2026-08-03 16:55:12.360005,0 days 00:00:00.072248,0.08585817870466608,20,euclidean,8,,COMPLETE
17,0.7626395884971084,2026-08-03 16:55:12.423412,2026-08-03 16:55:12.479459,0 days 00:00:00.056047,0.17807334281637954,10,euclidean,13,,COMPLETE
18,0.8152298349288035,2026-08-03 16:55:12.556375,2026-08-03 16:55:12.618225,0 days 00:00:00.061850,0.0913748048259786,20,euclidean,6,,COMPLETE
19,0.8305615521974362,2026-08-03 16:55:12.680937,2026-08-03 16:55:12.743645,0 days 00:00:00.062708,0.20491991161214063,30,euclidean,5,,COMPLETE
20,0.800187349629662,2026-08-03 16:55:12.809040,2026-08-03 16:55:12.876976,0 days 00:00:00.067936,0.030247262758632223,10,euclidean,9,,COMPLETE
21,0.8305615521974362,2026-08-03 16:55:12.944469,2026-08-03 16:55:13.009064,0 days 00:00:00.064595,0.140698643916274,10,euclidean,5,,COMPLETE
22,0.8211044239468323,2026-08-03 16:55:13.067564,2026-08-03 16:55:13.140380,0 days 00:00:00.072816,0.12206595260932704,10,euclidean,7,,COMPLETE
23,0.8152298349288035,2026-08-03 16:55:13.203139,2026-08-03 16:55:13.256516,0 days 00:00:00.053377,0.18329598117312595,20,euclidean,6,,COMPLETE
24,0.8305615521974362,2026-08-03 16:55:13.319438,2026-08-03 16:55:13.382036,0 days 00:00:00.062598,0.28328675442378976,10,euclidean,5,,COMPLETE
25,0.778894425182504,2026-08-03 16:55:13.444712,2026-08-03 16:55:13.518903,0 days 00:00:00.074191,0.12214183150050137,20,euclidean,10,,COMPLETE
26,0.8211044239468323,2026-08-03 16:55:13.572506,2026-08-03 16:55:13.635483,0 days 00:00:00.062977,0.06140405360860748,10,euclidean,7,,COMPLETE
27,0.8152298349288035,2026-08-03 16:55:13.698062,2026-08-03 16:55:13.760656,0 days 00:00:00.062594,0.017397617446996055,20,euclidean,6,,COMPLETE
28,0.7668551065948523,2026-08-03 16:55:13.835621,2026-08-03 16:55:13.900802,0 days 00:00:00.065181,0.16318047320862683,30,minkowski,12,2.0,COMPLETE
29,0.8090420879459018,2026-08-03 16:55:13.963419,2026-08-03 16:55:14.486979,0 days 00:00:00.523560,0.2749335816236882,10,manhattan,74,,COMPLETE
30,0.8152298349288035,2026-08-03 16:55:14.559668,2026-08-03 16:55:14.633423,0 days 00:00:00.073755,0.20213767880077058,20,minkowski,6,2.0,COMPLETE
31,0.8305615521974362,2026-08-03 16:55:14.698128,2026-08-03 16:55:14.758704,0 days 00:00:00.060576,0.1103717550383576,20,euclidean,5,,COMPLETE
32,0.8305615521974362,2026-08-03 16:55:14.821273,2026-08-03 16:55:14.881415,0 days 00:00:00.060142,0.14483717545870453,30,euclidean,5,,COMPLETE
