number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-05 18:49:42.563193,2026-08-05 18:53:23.076703,0 days 00:03:40.513510,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-05 18:53:23.139309,2026-08-05 18:54:21.919834,0 days 00:00:58.780525,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-05 18:54:21.987825,2026-08-05 18:57:47.437677,0 days 00:03:25.449852,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-05 18:57:47.515953,2026-08-05 18:58:21.857118,0 days 00:00:34.341165,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-05 18:58:21.935503,2026-08-05 18:58:42.736696,0 days 00:00:20.801193,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-05 18:58:42.799771,2026-08-05 19:01:33.716085,0 days 00:02:50.916314,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-05 19:01:33.794479,2026-08-05 19:03:44.599848,0 days 00:02:10.805369,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-05 19:03:44.678037,2026-08-05 19:04:25.359374,0 days 00:00:40.681337,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-05 19:04:25.422177,2026-08-05 19:05:51.806334,0 days 00:01:26.384157,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-05 19:05:51.884602,2026-08-05 19:06:05.313151,0 days 00:00:13.428549,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.888494568224111,2026-08-05 19:06:05.391456,2026-08-05 19:06:53.774267,0 days 00:00:48.382811,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8890188405745036,2026-08-05 19:06:53.856793,2026-08-05 19:07:39.379631,0 days 00:00:45.522838,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
12,0.8891434534886227,2026-08-05 19:07:39.450533,2026-08-05 19:08:10.462385,0 days 00:00:31.011852,0.018818250299811927,5,0.00037819112453006367,300,1,MIXED,0.00010135148803833408,COMPLETE
13,0.8874303065792026,2026-08-05 19:08:10.541015,2026-08-05 19:08:23.127735,0 days 00:00:12.586720,0.07244181790320466,11,0.0005793182382424497,100,1,MIXED,0.0925856112835083,COMPLETE
14,0.8867190025937448,2026-08-05 19:08:23.197884,2026-08-05 19:08:42.048129,0 days 00:00:18.850245,0.06616392789075656,13,0.012321404170357448,150,1,MIXED,0.04927648725114828,COMPLETE
15,0.8881077068709091,2026-08-05 19:08:42.110761,2026-08-05 19:09:50.786130,0 days 00:01:08.675369,0.09033082202673717,43,0.0004764231807821211,275,1,SUBSPACE,0.0038065833001435364,COMPLETE
16,0.8920232467075248,2026-08-05 19:09:50.848785,2026-08-05 19:10:06.514730,0 days 00:00:15.665945,0.2148713953268988,14,0.09730580688096313,125,1,MIXED,0.00035766673051521345,COMPLETE
17,0.8818319310825471,2026-08-05 19:10:06.584470,2026-08-05 19:10:22.291907,0 days 00:00:15.707437,0.25681334916292375,14,0.09659450568688238,125,1,MIXED,0.00042672976013364227,COMPLETE
18,0.7057042627944906,2026-08-05 19:10:22.354521,2026-08-05 19:11:06.188803,0 days 00:00:43.834282,0.33229150372463867,138,0.09393610349746763,50,1,UNIFORM,0.18860719731193873,COMPLETE
19,0.8739418006049677,2026-08-05 19:11:06.289550,2026-08-05 19:11:25.211262,0 days 00:00:18.921712,0.22736411333875053,8,0.03918109514985063,175,1,SUBSPACE,0.0020986754212625925,COMPLETE
20,0.8951360997549952,2026-08-05 19:11:25.290015,2026-08-05 19:11:56.659056,0 days 00:00:31.369041,0.4723278963892103,45,0.011446494410654779,125,1,MIXED,0.00039735001748631045,COMPLETE
21,0.8812461381223011,2026-08-05 19:11:56.727718,2026-08-05 19:12:28.217227,0 days 00:00:31.489509,0.49085821528025575,43,0.009945935534127384,125,1,MIXED,0.0003366151112641226,COMPLETE
22,0.8855375374512326,2026-08-05 19:12:28.280079,2026-08-05 19:12:57.282335,0 days 00:00:29.002256,0.41196815156593797,38,0.01644049936852422,125,1,MIXED,0.0010707818612762225,COMPLETE
23,0.8854908356744096,2026-08-05 19:12:57.344238,2026-08-05 19:13:21.744067,0 days 00:00:24.399829,0.42802083772590227,18,0.00485602929571509,175,1,MIXED,0.0002274912707806601,COMPLETE
24,0.5,2026-08-05 19:13:21.806639,2026-08-05 19:14:25.435989,0 days 00:01:03.629350,0.3196396876999559,60,0.05711072728617728,150,1,MIXED,0.006442246339986088,COMPLETE
25,0.897827514172193,2026-08-05 19:14:25.505426,2026-08-05 19:15:24.030100,0 days 00:00:58.524674,0.1857537893695545,89,0.020254048314594285,100,1,MIXED,0.0011532698732502457,COMPLETE
26,0.8887974561901408,2026-08-05 19:15:24.108067,2026-08-05 19:15:43.444827,0 days 00:00:19.336760,0.19650994390553234,33,0.005212851438115401,100,1,MIXED,0.000973148907518441,COMPLETE
27,0.866657670587221,2026-08-05 19:15:43.523076,2026-08-05 19:16:08.702273,0 days 00:00:25.179197,0.29440144340120566,58,0.022514225633122963,100,1,MIXED,0.0007190650470210085,COMPLETE
28,0.8531976796401808,2026-08-05 19:16:08.769914,2026-08-05 19:16:15.803640,0 days 00:00:07.033726,0.4401480101016593,17,0.05211376631100911,50,1,UNIFORM,0.00019394754702828113,COMPLETE
29,0.8697069822748795,2026-08-05 19:16:15.882189,2026-08-05 19:17:30.223631,0 days 00:01:14.341442,0.39169757101158686,103,0.006316397612307214,75,2,SUBSPACE,0.0013554498154597502,COMPLETE
30,0.6412973484168097,2026-08-05 19:17:30.292491,2026-08-05 19:18:37.724181,0 days 00:01:07.431690,0.2735572925020873,80,0.06110864645379587,125,1,MIXED,0.00022944537862142338,COMPLETE
31,0.8866651159281799,2026-08-05 19:18:37.792851,2026-08-05 19:19:48.089632,0 days 00:01:10.296781,0.19085530946267543,108,0.017565813176441295,100,1,MIXED,0.009162678661943665,COMPLETE
32,0.9015257111243633,2026-08-05 19:19:48.152177,2026-08-05 19:22:07.160403,0 days 00:02:19.008226,0.11713050515334827,107,0.02885170365318346,200,1,MIXED,0.030167250382175145,COMPLETE
33,0.8797808698744799,2026-08-05 19:22:07.231065,2026-08-05 19:23:43.769177,0 days 00:01:36.538112,0.12101588940657104,60,0.028313143434173745,225,1,MIXED,0.02463359775473354,COMPLETE
34,0.8767856693801597,2026-08-05 19:23:43.847473,2026-08-05 19:27:36.817763,0 days 00:03:52.970290,0.17001605070234344,150,0.034854725094914926,250,1,MIXED,0.0019760517454127935,COMPLETE
35,0.8808285164641726,2026-08-05 19:27:36.888180,2026-08-05 19:29:28.634545,0 days 00:01:51.746365,0.22362576291525532,116,0.011951816449993024,150,1,MIXED,0.004302846066549462,COMPLETE
36,0.6720962721204762,2026-08-05 19:29:28.713145,2026-08-05 19:31:15.958567,0 days 00:01:47.245422,0.36515888517405903,80,0.06879932678948864,200,1,SUBSPACE,0.017012667303491345,COMPLETE
37,0.8660415663775947,2026-08-05 19:31:16.031833,2026-08-05 19:31:36.482497,0 days 00:00:20.450664,0.11561184710363148,50,0.025630023830932283,75,1,UNIFORM,0.0006114498324109044,COMPLETE
38,0.9036939758300342,2026-08-05 19:31:36.545539,2026-08-05 19:33:48.349225,0 days 00:02:11.803686,0.15488508267718026,88,0.008604534511306569,225,1,MIXED,0.31032858233385535,COMPLETE
39,0.8894330943160346,2026-08-05 19:33:48.412151,2026-08-05 19:35:38.786753,0 days 00:01:50.374602,0.16351356498725544,70,0.00788735882397539,225,1,MIXED,0.36495827810061104,COMPLETE
40,0.8811841684569015,2026-08-05 19:35:38.850275,2026-08-05 19:39:13.469578,0 days 00:03:34.619303,0.1290691165101871,90,0.004075426919261575,250,2,MIXED,0.17306807156295775,COMPLETE
41,0.8841492822296148,2026-08-05 19:39:13.548797,2026-08-05 19:42:26.035183,0 days 00:03:12.486386,0.15332469398452037,121,0.0011429997797349036,250,1,MIXED,0.051088103916245305,COMPLETE
42,0.8750181867496281,2026-08-05 19:42:26.113901,2026-08-05 19:44:03.712800,0 days 00:01:37.598899,0.11072829119569978,70,0.01618340251909831,200,1,MIXED,0.8652232057622259,COMPLETE
43,0.8708720568899491,2026-08-05 19:44:03.790728,2026-08-05 19:46:22.951512,0 days 00:02:19.160784,0.1802702270048631,94,0.04386779283002666,225,1,MIXED,0.30580095611673774,COMPLETE
44,0.8873470067753502,2026-08-05 19:46:23.029806,2026-08-05 19:47:10.346345,0 days 00:00:47.316539,0.21888380017613407,30,0.008048077348084565,275,1,MIXED,0.10443006329847539,COMPLETE
45,0.8718965771190033,2026-08-05 19:47:10.424632,2026-08-05 19:49:27.057677,0 days 00:02:16.633045,0.047802854510137355,123,0.02011710210416529,175,1,UNIFORM,0.00026942476959191427,COMPLETE
46,0.5537833827893175,2026-08-05 19:49:27.134185,2026-08-05 19:50:35.329609,0 days 00:01:08.195424,0.09354954840826366,81,0.030896486910214294,125,1,MIXED,0.04963664563192436,COMPLETE
47,0.8981295040271301,2026-08-05 19:50:35.408016,2026-08-05 19:51:16.062079,0 days 00:00:40.654063,0.13982204199102782,51,0.012368692494016675,150,1,MIXED,0.0001547002872927012,COMPLETE
48,0.8784783842622197,2026-08-05 19:51:16.130720,2026-08-05 19:52:01.272718,0 days 00:00:45.141998,0.14590971201838032,47,0.01232924811946418,175,1,SUBSPACE,0.0001545798547615299,COMPLETE
49,0.8850426782391275,2026-08-05 19:52:01.340607,2026-08-05 19:52:38.364513,0 days 00:00:37.023906,0.14093056121146635,54,0.0032313061053873497,150,1,MIXED,0.5207435034827627,COMPLETE
50,0.8744950370381015,2026-08-05 19:52:38.442788,2026-08-05 19:53:26.686885,0 days 00:00:48.244097,0.05061149297878019,68,0.012882848352801303,100,1,MIXED,0.00014368523553985328,COMPLETE
51,0.8859697534146184,2026-08-05 19:53:26.764287,2026-08-05 19:53:49.463317,0 days 00:00:22.699030,0.2420025250589357,22,0.006637613638937451,150,1,MIXED,0.0003933641403228216,COMPLETE
52,0.8920809503452338,2026-08-05 19:53:49.543753,2026-08-05 19:54:33.848863,0 days 00:00:44.305110,0.09548083915182268,35,0.010067364835570403,200,1,MIXED,0.0007129680741030128,COMPLETE
53,0.8799344468713401,2026-08-05 19:54:33.911608,2026-08-05 19:55:18.628748,0 days 00:00:44.717140,0.10224758260825204,36,0.010229355932224725,200,1,MIXED,0.0006227910683059235,COMPLETE
54,0.8824570164031011,2026-08-05 19:55:18.690678,2026-08-05 19:56:05.511545,0 days 00:00:46.820867,0.07506820629656158,39,0.02222139497922375,200,1,MIXED,0.0017410102599117034,COMPLETE
55,0.891341804915901,2026-08-05 19:56:05.589987,2026-08-05 19:57:03.249874,0 days 00:00:57.659887,0.04196929150314081,46,0.014255701426738333,225,1,MIXED,0.0008683709073730735,COMPLETE
56,0.8857564520300903,2026-08-05 19:57:03.312448,2026-08-05 19:57:45.741917,0 days 00:00:42.429469,0.13303356923198714,53,0.002454685138452276,175,1,MIXED,0.00029512267895485993,COMPLETE
57,0.8808161674366471,2026-08-05 19:57:45.810275,2026-08-05 19:58:29.177335,0 days 00:00:43.367060,0.4639519647241564,25,0.008698399933312227,275,1,UNIFORM,0.0004826094590705857,COMPLETE
58,0.8845287341663014,2026-08-05 19:58:29.246226,2026-08-05 19:59:59.785493,0 days 00:01:30.539267,0.07342842192603116,64,0.006225918025305237,200,1,MIXED,0.08508589219690024,COMPLETE
59,0.8877055776291305,2026-08-05 19:59:59.862239,2026-08-05 20:00:37.722745,0 days 00:00:37.860506,0.3656180403948378,28,0.0036757013910327908,225,1,MIXED,0.0028791095135903867,COMPLETE
60,0.8821644567146377,2026-08-05 20:00:37.791379,2026-08-05 20:02:27.603714,0 days 00:01:49.812335,0.1785200369210672,95,0.0017693905415761628,175,1,SUBSPACE,0.012394452562334554,COMPLETE
61,0.8408322615874293,2026-08-05 20:02:27.675573,2026-08-05 20:02:45.455423,0 days 00:00:17.779850,0.21301869769475618,20,0.08132044152094757,125,1,MIXED,0.00016962700416587654,COMPLETE
62,0.6949210919593911,2026-08-05 20:02:45.533699,2026-08-05 20:02:58.820535,0 days 00:00:13.286836,0.15773122028938544,7,0.04447862680006497,125,1,MIXED,0.0003307608704997383,COMPLETE
63,0.8834366310775177,2026-08-05 20:02:58.883119,2026-08-05 20:03:12.120235,0 days 00:00:13.237116,0.1948752768571851,15,0.010781213862743926,100,1,MIXED,0.001283183200547211,COMPLETE
64,0.8861496001609415,2026-08-05 20:03:12.198476,2026-08-05 20:03:29.628080,0 days 00:00:17.429604,0.30232627438171067,10,0.01932671245991367,150,1,MIXED,0.000510526304841771,COMPLETE
