number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8047005797965261,2026-08-02 01:49:10.559638,2026-08-02 01:49:11.509097,0 days 00:00:00.949459,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.8123178292883259,2026-08-02 01:49:11.587527,2026-08-02 01:49:12.486516,0 days 00:00:00.898989,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.7816116913922143,2026-08-02 01:49:12.564754,2026-08-02 01:49:12.754156,0 days 00:00:00.189402,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8082852390540085,2026-08-02 01:49:12.832366,2026-08-02 01:49:13.759968,0 days 00:00:00.927602,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.8104540245341397,2026-08-02 01:49:13.838307,2026-08-02 01:49:14.361815,0 days 00:00:00.523508,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.8073366793383585,2026-08-02 01:49:14.440025,2026-08-02 01:49:14.618418,0 days 00:00:00.178393,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.8039261649839726,2026-08-02 01:49:14.681442,2026-08-02 01:49:15.219654,0 days 00:00:00.538212,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.8035893838844186,2026-08-02 01:49:15.298281,2026-08-02 01:49:15.612505,0 days 00:00:00.314224,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.804547332281801,2026-08-02 01:49:15.689760,2026-08-02 01:49:16.067459,0 days 00:00:00.377699,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.7893046560592735,2026-08-02 01:49:16.146593,2026-08-02 01:49:17.076226,0 days 00:00:00.929633,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.7821244345590712,2026-08-02 01:49:17.171176,2026-08-02 01:49:17.847986,0 days 00:00:00.676810,True,0.011380618121671737,0.9422708192761274,0.104151790983815,400,COMPLETE
11,0.807076824856868,2026-08-02 01:49:17.910564,2026-08-02 01:49:18.593354,0 days 00:00:00.682790,True,0.2499937581729986,0.8511758823784661,0.6170092099894217,400,COMPLETE
12,0.8090932714043773,2026-08-02 01:49:18.671575,2026-08-02 01:49:19.398003,0 days 00:00:00.726428,True,0.22804722966112873,0.9951904757103547,0.561856581102278,400,COMPLETE
13,0.8012294933019328,2026-08-02 01:49:19.476211,2026-08-02 01:49:20.327328,0 days 00:00:00.851117,True,0.2786669200944262,0.8220699269333304,0.9612003528310695,500,COMPLETE
14,0.8145714157647475,2026-08-02 01:49:20.389898,2026-08-02 01:49:20.926476,0 days 00:00:00.536578,True,0.40806534186809407,0.8975303317747265,0.7581342781244613,300,COMPLETE
15,0.8119437963225442,2026-08-02 01:49:21.003917,2026-08-02 01:49:21.900288,0 days 00:00:00.896371,True,0.4101370680617529,0.9655624219756962,0.7956254159789848,500,COMPLETE
16,0.8050958130113803,2026-08-02 01:49:21.962934,2026-08-02 01:49:22.797761,0 days 00:00:00.834827,True,0.40617768379766944,0.775835840786264,0.9036352681322193,500,COMPLETE
17,0.7945062885995963,2026-08-02 01:49:22.875974,2026-08-02 01:49:23.397246,0 days 00:00:00.521272,True,0.3378481605042905,0.9101467619507928,0.4758326274364353,300,COMPLETE
18,0.8012958197954599,2026-08-02 01:49:23.475456,2026-08-02 01:49:23.822814,0 days 00:00:00.347358,False,0.44410081476740443,0.642379095995195,0.7300187235041096,200,COMPLETE
19,0.7955802326454762,2026-08-02 01:49:23.885582,2026-08-02 01:49:24.545556,0 days 00:00:00.659974,True,0.498477923413548,0.8840841215961679,0.2502522255582727,400,COMPLETE
20,0.7990055871742128,2026-08-02 01:49:24.624226,2026-08-02 01:49:25.459540,0 days 00:00:00.835314,True,0.3701281213923168,0.7873284885947064,0.6243729123139914,500,COMPLETE
21,0.8120249629904224,2026-08-02 01:49:25.538317,2026-08-02 01:49:26.454629,0 days 00:00:00.916312,True,0.42520545542672034,0.9736348780405245,0.7959739010916893,500,COMPLETE
