number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8564156269216521,2026-08-09 21:22:36.722778,2026-08-09 21:22:40.506085,0 days 00:00:03.783307,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.8548681021654719,2026-08-09 21:22:40.566553,2026-08-09 21:22:45.320369,0 days 00:00:04.753816,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.8574991736506181,2026-08-09 21:22:45.386039,2026-08-09 21:22:46.251003,0 days 00:00:00.864964,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8523853370071061,2026-08-09 21:22:46.329613,2026-08-09 21:22:50.156288,0 days 00:00:03.826675,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.8495062235022496,2026-08-09 21:22:50.219042,2026-08-09 21:22:52.927310,0 days 00:00:02.708268,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.8528840653645479,2026-08-09 21:22:53.005643,2026-08-09 21:22:53.840190,0 days 00:00:00.834547,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.8521117748238474,2026-08-09 21:22:53.903133,2026-08-09 21:22:56.273285,0 days 00:00:02.370152,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.8491186063945098,2026-08-09 21:22:56.336444,2026-08-09 21:22:57.755359,0 days 00:00:01.418915,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.8497374267043689,2026-08-09 21:22:57.818085,2026-08-09 21:22:59.801603,0 days 00:00:01.983518,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.8445630950495123,2026-08-09 21:22:59.864269,2026-08-09 21:23:04.161149,0 days 00:00:04.296880,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.8603195383918805,2026-08-09 21:23:04.239808,2026-08-09 21:23:07.513001,0 days 00:00:03.273193,True,0.01088898238999464,0.793723922615648,0.46534561797971163,400,COMPLETE
11,0.8572865056210467,2026-08-09 21:23:07.602196,2026-08-09 21:23:10.899646,0 days 00:00:03.297450,True,0.015369434456364864,0.7914242850510834,0.4606615751003687,400,COMPLETE
12,0.8504291403845987,2026-08-09 21:23:10.962295,2026-08-09 21:23:11.955849,0 days 00:00:00.993554,True,0.012480669505458328,0.9951904757103547,0.481259171652329,100,COMPLETE
13,0.8575340736592248,2026-08-09 21:23:12.018604,2026-08-09 21:23:14.710233,0 days 00:00:02.691629,True,0.12354744985390706,0.6303737695253201,0.27331339975393776,400,COMPLETE
14,0.8558342262064389,2026-08-09 21:23:14.773309,2026-08-09 21:23:17.418976,0 days 00:00:02.645667,True,0.08741410129495873,0.6306723048091473,0.23151885121046792,400,COMPLETE
15,0.8549218865961764,2026-08-09 21:23:17.497562,2026-08-09 21:23:20.165250,0 days 00:00:02.667688,True,0.20959338350236145,0.6217170639537095,0.3164887938486128,400,COMPLETE
16,0.8506092533668279,2026-08-09 21:23:20.228264,2026-08-09 21:23:23.718506,0 days 00:00:03.490242,True,0.09793780241497017,0.6326349491726826,0.5903935162906295,500,COMPLETE
17,0.8507698582670487,2026-08-09 21:23:23.798503,2026-08-09 21:23:27.684835,0 days 00:00:03.886332,True,0.04889143641240864,0.7922001038671282,0.10567311192443773,500,COMPLETE
18,0.8482518687969227,2026-08-09 21:23:27.797382,2026-08-09 21:23:30.576331,0 days 00:00:02.778949,True,0.24409226940198397,0.9573804373600965,0.30842990200214593,300,COMPLETE
19,0.8513930691426796,2026-08-09 21:23:30.654617,2026-08-09 21:23:33.290400,0 days 00:00:02.635783,True,0.16405760909072764,0.583478820563204,0.5869958242077448,400,COMPLETE
20,0.8546195362714367,2026-08-09 21:23:33.353020,2026-08-09 21:23:37.025034,0 days 00:00:03.672014,True,0.05691321535518859,0.6921452570306129,0.393902266442828,500,COMPLETE
21,0.8599147082706036,2026-08-09 21:23:37.088098,2026-08-09 21:23:38.787042,0 days 00:00:01.698944,True,0.14223291925934994,0.8047443542597656,0.46843500970963314,200,COMPLETE
22,0.84943465229089,2026-08-09 21:23:38.850735,2026-08-09 21:23:40.384792,0 days 00:00:01.534057,True,0.13273074880389804,0.7572956361950263,0.2317477580344441,200,COMPLETE
23,0.8528129182419277,2026-08-09 21:23:40.448905,2026-08-09 21:23:43.108827,0 days 00:00:02.659922,True,0.1971130087028966,0.8573422201051323,0.560955062996576,300,COMPLETE
24,0.8425328076296059,2026-08-09 21:23:43.187110,2026-08-09 21:23:44.850806,0 days 00:00:01.663696,True,0.2799338747857695,0.8223429495720511,0.22997605990888212,200,COMPLETE
25,0.8468089193345798,2026-08-09 21:23:44.913543,2026-08-09 21:23:47.746652,0 days 00:00:02.833109,True,0.1270192027454873,0.6619122532621494,0.4098008839274274,400,COMPLETE
26,0.8569466359160753,2026-08-09 21:23:47.871527,2026-08-09 21:23:50.651587,0 days 00:00:02.780060,True,0.07588708026005159,0.9347534989986166,0.5432418771377169,300,COMPLETE
27,0.8512776671127915,2026-08-09 21:23:50.714360,2026-08-09 21:23:54.686245,0 days 00:00:03.971885,True,0.1671218219553769,0.7497210225735619,0.6628487770760119,500,COMPLETE
28,0.855311698986802,2026-08-09 21:23:54.763268,2026-08-09 21:23:58.105475,0 days 00:00:03.342207,True,0.049153395525088184,0.8366934890806795,0.2918091976447191,400,COMPLETE
29,0.8523562495088678,2026-08-09 21:23:58.183992,2026-08-09 21:24:02.862715,0 days 00:00:04.678723,True,0.12387425950981754,0.7715264244509191,0.3755317967720297,600,COMPLETE
30,0.8506928237948708,2026-08-09 21:24:02.941632,2026-08-09 21:24:04.757003,0 days 00:00:01.815371,True,0.2507532299408612,0.9195605359696881,0.5070333986753447,200,COMPLETE
31,0.8396458609562703,2026-08-09 21:24:04.886882,2026-08-09 21:24:05.733702,0 days 00:00:00.846820,False,0.14235326381074823,0.8185619759659072,0.44354308915075025,100,COMPLETE
32,0.8397903754307932,2026-08-09 21:24:05.812764,2026-08-09 21:24:06.598554,0 days 00:00:00.785790,False,0.11188095611170847,0.72478061882202,0.3631263134653842,100,COMPLETE
33,0.8526588991903646,2026-08-09 21:24:06.677027,2026-08-09 21:24:07.553091,0 days 00:00:00.876064,False,0.20013171938077787,0.7956785323126364,0.6194361034895078,100,COMPLETE
34,0.8536613950773276,2026-08-09 21:24:07.615728,2026-08-09 21:24:08.904099,0 days 00:00:01.288371,False,0.15197512343742722,0.5034246438431909,0.5129981279191643,200,COMPLETE
