number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8107932285193019,2026-08-03 12:02:48.388614,2026-08-03 12:02:49.308086,0 days 00:00:00.919472,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.807517790037579,2026-08-03 12:02:49.386383,2026-08-03 12:02:50.274156,0 days 00:00:00.887773,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.8036248185864401,2026-08-03 12:02:50.352885,2026-08-03 12:02:50.527087,0 days 00:00:00.174202,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8105806203071735,2026-08-03 12:02:50.589392,2026-08-03 12:02:51.525473,0 days 00:00:00.936081,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.8171487603305784,2026-08-03 12:02:51.603714,2026-08-03 12:02:52.109564,0 days 00:00:00.505850,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.7970312382641478,2026-08-03 12:02:52.190661,2026-08-03 12:02:52.368524,0 days 00:00:00.177863,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.809146877748461,2026-08-03 12:02:52.431531,2026-08-03 12:02:52.933348,0 days 00:00:00.501817,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.81766574354725,2026-08-03 12:02:53.012008,2026-08-03 12:02:53.326984,0 days 00:00:00.314976,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.8053786849061495,2026-08-03 12:02:53.389791,2026-08-03 12:02:53.767007,0 days 00:00:00.377216,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.7918668575900525,2026-08-03 12:02:53.832293,2026-08-03 12:02:54.744532,0 days 00:00:00.912239,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.8158788654111273,2026-08-03 12:02:54.823441,2026-08-03 12:02:55.422914,0 days 00:00:00.599473,True,0.011337018004626664,0.6172370043294497,0.980940670746889,400,COMPLETE
11,0.8079578466361867,2026-08-03 12:02:55.501431,2026-08-03 12:02:56.023230,0 days 00:00:00.521799,True,0.22255448277235973,0.9815307015760056,0.5884838388259341,300,COMPLETE
12,0.8078330680273593,2026-08-03 12:02:56.100792,2026-08-03 12:02:56.556676,0 days 00:00:00.455884,True,0.46637058886210286,0.6017105956599174,0.6473909544375284,300,COMPLETE
13,0.8011631668084055,2026-08-03 12:02:56.634897,2026-08-03 12:02:56.981088,0 days 00:00:00.346191,True,0.23716852836872562,0.8112975682905497,0.956211899868848,200,COMPLETE
14,0.8106278665765353,2026-08-03 12:02:57.044158,2026-08-03 12:02:57.390804,0 days 00:00:00.346646,True,0.26800355050215807,0.9475603448090958,0.4348534525622874,200,COMPLETE
15,0.8050258521894407,2026-08-03 12:02:57.469327,2026-08-03 12:02:58.133942,0 days 00:00:00.664615,True,0.4995878489437907,0.7881414927805465,0.7435483999097142,400,COMPLETE
16,0.8061061563100422,2026-08-03 12:02:58.196999,2026-08-03 12:02:58.806692,0 days 00:00:00.609693,True,0.4152999609994896,0.6313256019978641,0.5560447877381338,400,COMPLETE
17,0.8013170200445326,2026-08-03 12:02:58.869534,2026-08-03 12:02:59.212297,0 days 00:00:00.342763,True,0.2850500122360701,0.8676335101105134,0.22693756740704535,200,COMPLETE
18,0.7998372426592621,2026-08-03 12:02:59.275089,2026-08-03 12:02:59.719866,0 days 00:00:00.444777,True,0.032595842194388824,0.5436644516676832,0.9775307139174161,300,COMPLETE
19,0.7912626504914824,2026-08-03 12:02:59.798628,2026-08-03 12:02:59.987708,0 days 00:00:00.189080,False,0.16253196336967857,0.6703721898480715,0.6942912340716344,100,COMPLETE
20,0.7965339409930439,2026-08-03 12:03:00.052700,2026-08-03 12:03:00.853847,0 days 00:00:00.801147,True,0.09459844260231048,0.83969149076499,0.30583542315998835,500,COMPLETE
21,0.819159755385469,2026-08-03 12:03:00.932069,2026-08-03 12:03:01.532710,0 days 00:00:00.600641,True,0.012206376708032976,0.5960891170297734,0.984108374913874,400,COMPLETE
22,0.8047011855179282,2026-08-03 12:03:01.611383,2026-08-03 12:03:02.210007,0 days 00:00:00.598624,True,0.0707500053046892,0.5864094534201154,0.91049756644831,400,COMPLETE
23,0.8057669523248798,2026-08-03 12:03:02.277911,2026-08-03 12:03:03.018058,0 days 00:00:00.740147,True,0.2041018150439031,0.5619427109719923,0.7938360735694489,500,COMPLETE
24,0.8110576259113078,2026-08-03 12:03:03.096771,2026-08-03 12:03:03.584686,0 days 00:00:00.487915,True,0.2948134515134695,0.7458845317641103,0.8985197128937831,300,COMPLETE
25,0.8101475295046895,2026-08-03 12:03:03.647249,2026-08-03 12:03:03.956547,0 days 00:00:00.309298,True,0.1232458191437362,0.5170010363547989,0.9864874830030091,200,COMPLETE
26,0.8119362248050183,2026-08-03 12:03:04.019146,2026-08-03 12:03:04.698036,0 days 00:00:00.678890,False,0.04023831521459337,0.6601794672047797,0.740761858979013,400,COMPLETE
27,0.7961862569082526,2026-08-03 12:03:04.760838,2026-08-03 12:03:05.216857,0 days 00:00:00.456019,True,0.41196815156593797,0.5867944852894882,0.5814959312512606,300,COMPLETE
28,0.8170415476424112,2026-08-03 12:03:05.279771,2026-08-03 12:03:05.655619,0 days 00:00:00.375848,False,0.17702332654092173,0.9471855649945786,0.8959370713314914,200,COMPLETE
29,0.8093991607124252,2026-08-03 12:03:05.718409,2026-08-03 12:03:06.491975,0 days 00:00:00.773566,False,0.3463090230627736,0.5583187710436657,0.45501512836764485,500,COMPLETE
30,0.8000925542302371,2026-08-03 12:03:06.570482,2026-08-03 12:03:07.041767,0 days 00:00:00.471285,True,0.4005201166244469,0.7028799230210695,0.8125187097506914,300,COMPLETE
31,0.8169833983878119,2026-08-03 12:03:07.121031,2026-08-03 12:03:07.500151,0 days 00:00:00.379120,False,0.18666757888780877,0.9865532595152915,0.9390627291801243,200,COMPLETE
32,0.8314265223595998,2026-08-03 12:03:07.578504,2026-08-03 12:03:07.767453,0 days 00:00:00.188949,False,0.14006029718301952,0.930993667392895,0.8667062802879154,100,COMPLETE
33,0.8132563946008418,2026-08-03 12:03:07.830222,2026-08-03 12:03:08.035654,0 days 00:00:00.205432,False,0.13147918029491126,0.9361022670679318,0.8840176351945501,100,COMPLETE
34,0.8058450903857476,2026-08-03 12:03:08.097342,2026-08-03 12:03:08.303258,0 days 00:00:00.205916,False,0.25787725941206324,0.9039485736699677,0.836191889181464,100,COMPLETE
35,0.8209169531728898,2026-08-03 12:03:08.366069,2026-08-03 12:03:08.555272,0 days 00:00:00.189203,False,0.06625027342252846,0.8716859146942537,0.844414849636111,100,COMPLETE
36,0.8188214599824097,2026-08-03 12:03:08.639639,2026-08-03 12:03:08.814033,0 days 00:00:00.174394,False,0.04656948753892754,0.7677632559734011,0.8460648438995733,100,COMPLETE
37,0.8085099616941784,2026-08-03 12:03:08.876621,2026-08-03 12:03:09.065604,0 days 00:00:00.188983,False,0.0515029115970045,0.832391566520991,0.7581544185836728,100,COMPLETE
38,0.7745217223809213,2026-08-03 12:03:09.137618,2026-08-03 12:03:09.326883,0 days 00:00:00.189265,False,0.011294387236968734,0.7698494037666462,0.8457426936461134,100,COMPLETE
39,0.8230006347960294,2026-08-03 12:03:09.389468,2026-08-03 12:03:09.594626,0 days 00:00:00.205158,False,0.10422105053465605,0.9242947771995036,0.9419045901167068,100,COMPLETE
40,0.8043059523030739,2026-08-03 12:03:09.658003,2026-08-03 12:03:09.863238,0 days 00:00:00.205235,False,0.10481246289285731,0.9188940490203882,0.9259577889789955,100,COMPLETE
41,0.7988838371723955,2026-08-03 12:03:09.925842,2026-08-03 12:03:10.115382,0 days 00:00:00.189540,False,0.06563727976973746,0.876647686339113,0.8530462110173971,100,COMPLETE
42,0.8191688412065001,2026-08-03 12:03:10.200297,2026-08-03 12:03:10.404539,0 days 00:00:00.204242,False,0.07506938613228853,0.9716963726034267,0.8071170268241421,100,COMPLETE
43,0.8046654479552057,2026-08-03 12:03:10.467319,2026-08-03 12:03:10.672619,0 days 00:00:00.205300,False,0.15375375868782118,0.9979640541478672,0.7832281141879266,100,COMPLETE
44,0.819377512229515,2026-08-03 12:03:10.734969,2026-08-03 12:03:11.837034,0 days 00:00:01.102065,False,0.07744994677355281,0.9652781393863055,0.9279632783708806,600,COMPLETE
45,0.8110942720561334,2026-08-03 12:03:11.915269,2026-08-03 12:03:13.017671,0 days 00:00:01.102402,False,0.11370667527963399,0.9614770205726159,0.9369988840136754,600,COMPLETE
46,0.8150151066917678,2026-08-03 12:03:13.080249,2026-08-03 12:03:13.285107,0 days 00:00:00.204858,False,0.08019541662271096,0.8979244437327263,0.6400820240539186,100,COMPLETE
47,0.8173080650593243,2026-08-03 12:03:13.348084,2026-08-03 12:03:13.728006,0 days 00:00:00.379922,False,0.14893542767616713,0.9670450279364681,0.8051661785656125,200,COMPLETE
