number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8074729666538253,2026-08-08 16:19:58.936173,2026-08-08 16:20:00.411124,0 days 00:00:01.474951,0.2757254682642995,30,minkowski,48,2.0,COMPLETE
1,0.752030681000458,2026-08-08 16:20:00.489499,2026-08-08 16:20:01.148173,0 days 00:00:00.658674,0.03860487984774338,50,minkowski,10,1.0,COMPLETE
2,0.8058829479733773,2026-08-08 16:20:01.226538,2026-08-08 16:20:01.886210,0 days 00:00:00.659672,0.40648517584940247,60,minkowski,38,1.0,COMPLETE
3,0.7442716927005726,2026-08-08 16:20:01.964687,2026-08-08 16:20:02.622590,0 days 00:00:00.657903,0.3695652622191061,40,manhattan,20,,COMPLETE
4,0.8211044239468323,2026-08-08 16:20:02.700845,2026-08-08 16:20:02.794981,0 days 00:00:00.094136,0.24453541449540095,40,euclidean,7,,COMPLETE
5,0.7529201828794058,2026-08-08 16:20:02.873388,2026-08-08 16:20:03.516384,0 days 00:00:00.642996,0.21965777027202094,50,manhattan,21,,COMPLETE
6,0.738173592485178,2026-08-08 16:20:03.594632,2026-08-08 16:20:04.253709,0 days 00:00:00.659077,0.06573318968051038,60,manhattan,12,,COMPLETE
7,0.7718789599036661,2026-08-08 16:20:04.332084,2026-08-08 16:20:04.990511,0 days 00:00:00.658427,0.4037301823363769,60,minkowski,9,1.0,COMPLETE
8,0.8124289791656066,2026-08-08 16:20:05.068861,2026-08-08 16:20:05.727426,0 days 00:00:00.658565,0.33026349906138686,30,manhattan,5,,COMPLETE
9,0.752167574037327,2026-08-08 16:20:05.805682,2026-08-08 16:20:05.899728,0 days 00:00:00.094046,0.24317566187629008,40,euclidean,16,,COMPLETE
10,0.7710539673540393,2026-08-08 16:20:05.978110,2026-08-08 16:20:06.135174,0 days 00:00:00.157064,0.4896162581121494,10,euclidean,90,,COMPLETE
11,0.8305615521974362,2026-08-08 16:20:06.213886,2026-08-08 16:20:06.307891,0 days 00:00:00.094005,0.17842167096072603,20,euclidean,5,,COMPLETE
12,0.8305615521974362,2026-08-08 16:20:06.386158,2026-08-08 16:20:06.480463,0 days 00:00:00.094305,0.11663456491733873,10,euclidean,5,,COMPLETE
13,0.8305615521974362,2026-08-08 16:20:06.543137,2026-08-08 16:20:06.637066,0 days 00:00:00.093929,0.146971342102369,10,euclidean,5,,COMPLETE
14,0.8305615521974362,2026-08-08 16:20:06.715515,2026-08-08 16:20:06.809641,0 days 00:00:00.094126,0.1195185861750207,20,euclidean,5,,COMPLETE
15,0.8211044239468323,2026-08-08 16:20:06.888672,2026-08-08 16:20:06.982827,0 days 00:00:00.094155,0.15887375099808954,20,euclidean,7,,COMPLETE
16,0.8227189743440643,2026-08-08 16:20:07.061238,2026-08-08 16:20:07.155795,0 days 00:00:00.094557,0.08585817870466608,20,euclidean,8,,COMPLETE
17,0.7626395884971084,2026-08-08 16:20:07.234486,2026-08-08 16:20:07.328508,0 days 00:00:00.094022,0.17807334281637954,10,euclidean,13,,COMPLETE
18,0.8152298349288035,2026-08-08 16:20:07.407048,2026-08-08 16:20:07.501076,0 days 00:00:00.094028,0.0913748048259786,20,euclidean,6,,COMPLETE
19,0.8305615521974362,2026-08-08 16:20:07.579517,2026-08-08 16:20:07.673487,0 days 00:00:00.093970,0.20491991161214063,30,euclidean,5,,COMPLETE
20,0.800187349629662,2026-08-08 16:20:07.751815,2026-08-08 16:20:07.846937,0 days 00:00:00.095122,0.030247262758632223,10,euclidean,9,,COMPLETE
21,0.8305615521974362,2026-08-08 16:20:07.925823,2026-08-08 16:20:08.019770,0 days 00:00:00.093947,0.140698643916274,10,euclidean,5,,COMPLETE
