number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8570838063385089,2026-08-03 02:17:08.032328,2026-08-03 02:17:09.553114,0 days 00:00:01.520786,0.2757254682642995,30,minkowski,48,2.0,COMPLETE
1,0.8862926243524618,2026-08-03 02:17:09.615859,2026-08-03 02:17:10.978331,0 days 00:00:01.362472,0.03860487984774338,50,minkowski,10,1.0,COMPLETE
2,0.872304768610658,2026-08-03 02:17:11.045974,2026-08-03 02:17:12.416452,0 days 00:00:01.370478,0.40648517584940247,60,minkowski,38,1.0,COMPLETE
3,0.884985872712511,2026-08-03 02:17:12.494964,2026-08-03 02:17:13.853056,0 days 00:00:01.358092,0.3695652622191061,40,manhattan,20,,COMPLETE
4,0.8422955090852917,2026-08-03 02:17:13.931561,2026-08-03 02:17:14.037825,0 days 00:00:00.106264,0.24453541449540095,40,euclidean,7,,COMPLETE
5,0.8846012566370409,2026-08-03 02:17:14.106940,2026-08-03 02:17:15.490399,0 days 00:00:01.383459,0.21965777027202094,50,manhattan,21,,COMPLETE
6,0.8866570329283452,2026-08-03 02:17:15.553154,2026-08-03 02:17:16.914223,0 days 00:00:01.361069,0.06573318968051038,60,manhattan,12,,COMPLETE
7,0.884943886018925,2026-08-03 02:17:16.991984,2026-08-03 02:17:18.345939,0 days 00:00:01.353955,0.4037301823363769,60,minkowski,9,1.0,COMPLETE
8,0.8570424932282423,2026-08-03 02:17:18.421345,2026-08-03 02:17:19.771643,0 days 00:00:01.350298,0.33026349906138686,30,manhattan,5,,COMPLETE
9,0.8692242475625265,2026-08-03 02:17:19.841043,2026-08-03 02:17:19.956167,0 days 00:00:00.115124,0.24317566187629008,40,euclidean,16,,COMPLETE
10,0.8402626346268527,2026-08-03 02:17:20.022837,2026-08-03 02:17:21.447212,0 days 00:00:01.424375,0.01082998769740625,10,manhattan,90,,COMPLETE
11,0.8554606950661369,2026-08-03 02:17:21.525548,2026-08-03 02:17:21.635536,0 days 00:00:00.109988,0.04664802767184197,60,minkowski,11,2.0,COMPLETE
12,0.8866570329283452,2026-08-03 02:17:21.693139,2026-08-03 02:17:23.061524,0 days 00:00:01.368385,0.10967638374671901,50,manhattan,12,,COMPLETE
13,0.8878732998757013,2026-08-03 02:17:23.133372,2026-08-03 02:17:24.489583,0 days 00:00:01.356211,0.12704138707768564,50,manhattan,15,,COMPLETE
14,0.8813375209259885,2026-08-03 02:17:24.568121,2026-08-03 02:17:25.936152,0 days 00:00:01.368031,0.15092728664877617,50,manhattan,30,,COMPLETE
15,0.8570424932282423,2026-08-03 02:17:26.014426,2026-08-03 02:17:27.358613,0 days 00:00:01.344187,0.13642965282139358,10,manhattan,5,,COMPLETE
