number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8570838063385089,2026-08-04 07:44:53.219870,2026-08-04 07:44:54.823295,0 days 00:00:01.603425,0.2757254682642995,30,minkowski,48,2.0,COMPLETE
1,0.8862926243524618,2026-08-04 07:44:54.897113,2026-08-04 07:44:56.259398,0 days 00:00:01.362285,0.03860487984774338,50,minkowski,10,1.0,COMPLETE
2,0.872304768610658,2026-08-04 07:44:56.333645,2026-08-04 07:44:57.731511,0 days 00:00:01.397866,0.40648517584940247,60,minkowski,38,1.0,COMPLETE
3,0.884985872712511,2026-08-04 07:44:57.793409,2026-08-04 07:44:59.182011,0 days 00:00:01.388602,0.3695652622191061,40,manhattan,20,,COMPLETE
4,0.8422955090852917,2026-08-04 07:44:59.254918,2026-08-04 07:44:59.355297,0 days 00:00:00.100379,0.24453541449540095,40,euclidean,7,,COMPLETE
5,0.8846012566370409,2026-08-04 07:44:59.430794,2026-08-04 07:45:00.807982,0 days 00:00:01.377188,0.21965777027202094,50,manhattan,21,,COMPLETE
6,0.8866570329283452,2026-08-04 07:45:00.886131,2026-08-04 07:45:02.255351,0 days 00:00:01.369220,0.06573318968051038,60,manhattan,12,,COMPLETE
7,0.884943886018925,2026-08-04 07:45:02.317874,2026-08-04 07:45:03.682402,0 days 00:00:01.364528,0.4037301823363769,60,minkowski,9,1.0,COMPLETE
8,0.8570424932282423,2026-08-04 07:45:03.760551,2026-08-04 07:45:05.127075,0 days 00:00:01.366524,0.33026349906138686,30,manhattan,5,,COMPLETE
9,0.8692242475625265,2026-08-04 07:45:05.194947,2026-08-04 07:45:05.303673,0 days 00:00:00.108726,0.24317566187629008,40,euclidean,16,,COMPLETE
10,0.8402626346268527,2026-08-04 07:45:05.366200,2026-08-04 07:45:06.815719,0 days 00:00:01.449519,0.01082998769740625,10,manhattan,90,,COMPLETE
11,0.8554606950661369,2026-08-04 07:45:06.893878,2026-08-04 07:45:07.002757,0 days 00:00:00.108879,0.04664802767184197,60,minkowski,11,2.0,COMPLETE
12,0.8866570329283452,2026-08-04 07:45:07.073170,2026-08-04 07:45:08.428691,0 days 00:00:01.355521,0.10967638374671901,50,manhattan,12,,COMPLETE
13,0.8878732998757013,2026-08-04 07:45:08.506845,2026-08-04 07:45:09.875863,0 days 00:00:01.369018,0.12704138707768564,50,manhattan,15,,COMPLETE
14,0.8813375209259885,2026-08-04 07:45:09.954411,2026-08-04 07:45:11.347854,0 days 00:00:01.393443,0.15092728664877617,50,manhattan,30,,COMPLETE
15,0.8570424932282423,2026-08-04 07:45:11.410905,2026-08-04 07:45:12.776515,0 days 00:00:01.365610,0.13642965282139358,10,manhattan,5,,COMPLETE
16,0.8873984236354101,2026-08-04 07:45:12.851584,2026-08-04 07:45:14.228951,0 days 00:00:01.377367,0.49958784894379077,60,manhattan,16,,COMPLETE
17,0.8681709877785042,2026-08-04 07:45:14.299370,2026-08-04 07:45:14.425059,0 days 00:00:00.125689,0.48015032575573025,30,euclidean,28,,COMPLETE
18,0.8701580585712129,2026-08-04 07:45:14.495937,2026-08-04 07:45:15.916105,0 days 00:00:01.420168,0.4865350343846839,50,manhattan,61,,COMPLETE
19,0.8878732998757013,2026-08-04 07:45:15.987546,2026-08-04 07:45:17.352118,0 days 00:00:01.364572,0.18059453509252366,20,manhattan,15,,COMPLETE
20,0.8422955090852917,2026-08-04 07:45:17.428708,2026-08-04 07:45:17.522502,0 days 00:00:00.093794,0.18531902017372376,20,euclidean,7,,COMPLETE
21,0.8873984236354101,2026-08-04 07:45:17.600653,2026-08-04 07:45:18.978571,0 days 00:00:01.377918,0.3116663294994926,20,manhattan,16,,COMPLETE
22,0.8882996781169845,2026-08-04 07:45:19.043456,2026-08-04 07:45:20.409657,0 days 00:00:01.366201,0.09716092986497221,20,manhattan,17,,COMPLETE
23,0.8840578994259274,2026-08-04 07:45:20.487854,2026-08-04 07:45:21.874771,0 days 00:00:01.386917,0.09479428296203835,20,manhattan,23,,COMPLETE
24,0.8878732998757013,2026-08-04 07:45:21.937298,2026-08-04 07:45:23.308564,0 days 00:00:01.371266,0.14617982130373472,10,manhattan,15,,COMPLETE
25,0.8796475003772066,2026-08-04 07:45:23.391929,2026-08-04 07:45:24.758682,0 days 00:00:01.366753,0.19689106067736772,20,manhattan,8,,COMPLETE
26,0.8827033233702876,2026-08-04 07:45:24.820625,2026-08-04 07:45:26.216508,0 days 00:00:01.395883,0.09510872044190752,30,manhattan,28,,COMPLETE
27,0.8868595569797603,2026-08-04 07:45:26.286444,2026-08-04 07:45:27.661144,0 days 00:00:01.374700,0.16915916288031435,20,manhattan,13,,COMPLETE
28,0.8697979160230204,2026-08-04 07:45:27.723843,2026-08-04 07:45:27.854010,0 days 00:00:00.130167,0.11928409925509037,10,euclidean,19,,COMPLETE
