number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-03 18:59:13.357805,2026-08-03 19:03:02.306428,0 days 00:03:48.948623,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-03 19:03:02.384823,2026-08-03 19:04:01.784915,0 days 00:00:59.400092,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-03 19:04:01.873822,2026-08-03 19:07:29.322158,0 days 00:03:27.448336,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-03 19:07:29.390255,2026-08-03 19:08:04.384939,0 days 00:00:34.994684,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-03 19:08:04.452197,2026-08-03 19:08:25.556803,0 days 00:00:21.104606,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-03 19:08:25.624205,2026-08-03 19:11:18.343382,0 days 00:02:52.719177,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-03 19:11:18.408458,2026-08-03 19:13:28.951605,0 days 00:02:10.543147,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-03 19:13:29.029777,2026-08-03 19:14:09.548155,0 days 00:00:40.518378,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-03 19:14:09.607874,2026-08-03 19:15:35.877702,0 days 00:01:26.269828,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-03 19:15:35.952925,2026-08-03 19:15:49.725191,0 days 00:00:13.772266,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.888494568224111,2026-08-03 19:15:49.787098,2026-08-03 19:16:38.598508,0 days 00:00:48.811410,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8890188405745036,2026-08-03 19:16:38.677179,2026-08-03 19:17:24.260935,0 days 00:00:45.583756,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
12,0.8891434534886227,2026-08-03 19:17:24.323627,2026-08-03 19:17:55.376006,0 days 00:00:31.052379,0.018818250299811927,5,0.00037819112453006367,300,1,MIXED,0.00010135148803833408,COMPLETE
13,0.8874303065792026,2026-08-03 19:17:55.454382,2026-08-03 19:18:08.065374,0 days 00:00:12.610992,0.07244181790320466,11,0.0005793182382424497,100,1,MIXED,0.0925856112835083,COMPLETE
