number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-04 02:30:18.859801,2026-08-04 02:34:00.360986,0 days 00:03:41.501185,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-04 02:34:00.423535,2026-08-04 02:34:59.885180,0 days 00:00:59.461645,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-04 02:34:59.953817,2026-08-04 02:38:26.204221,0 days 00:03:26.250404,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-04 02:38:26.282794,2026-08-04 02:39:01.032539,0 days 00:00:34.749745,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-04 02:39:01.095563,2026-08-04 02:39:22.464074,0 days 00:00:21.368511,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-04 02:39:22.526681,2026-08-04 02:42:13.958750,0 days 00:02:51.432069,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-04 02:42:14.021267,2026-08-04 02:44:23.843116,0 days 00:02:09.821849,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-04 02:44:23.920810,2026-08-04 02:45:04.968154,0 days 00:00:41.047344,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-04 02:45:05.058653,2026-08-04 02:46:31.296396,0 days 00:01:26.237743,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-04 02:46:31.369273,2026-08-04 02:46:45.288369,0 days 00:00:13.919096,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.888494568224111,2026-08-04 02:46:45.387654,2026-08-04 02:47:34.390910,0 days 00:00:49.003256,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8890188405745036,2026-08-04 02:47:34.461686,2026-08-04 02:48:20.750116,0 days 00:00:46.288430,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
