number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8645855290734159,2026-08-03 10:04:00.006673,2026-08-03 10:05:51.932680,0 days 00:01:51.926007,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8610399388463672,2026-08-03 10:05:52.037712,2026-08-03 10:06:39.831137,0 days 00:00:47.793425,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.7510996872054679,2026-08-03 10:06:39.930185,2026-08-03 10:08:12.425966,0 days 00:01:32.495781,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.8555109138882226,2026-08-03 10:08:12.523991,2026-08-03 10:08:49.501863,0 days 00:00:36.977872,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8584320053497314,2026-08-03 10:08:49.607069,2026-08-03 10:09:08.749721,0 days 00:00:19.142652,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8628555887490885,2026-08-03 10:09:08.850832,2026-08-03 10:10:13.240829,0 days 00:01:04.389997,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8720328737119334,2026-08-03 10:10:13.343096,2026-08-03 10:11:08.345862,0 days 00:00:55.002766,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8570866981157217,2026-08-03 10:11:08.446713,2026-08-03 10:11:44.778909,0 days 00:00:36.332196,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8573738100603057,2026-08-03 10:11:44.880110,2026-08-03 10:12:30.944814,0 days 00:00:46.064704,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8574870799624937,2026-08-03 10:12:31.043721,2026-08-03 10:12:44.160852,0 days 00:00:13.117131,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.8678658133263554,2026-08-03 10:12:44.266403,2026-08-03 10:13:48.372776,0 days 00:01:04.106373,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8699049744264424,2026-08-03 10:13:48.476726,2026-08-03 10:14:51.435134,0 days 00:01:02.958408,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
12,0.8778977711875289,2026-08-03 10:14:51.541106,2026-08-03 10:15:32.913084,0 days 00:00:41.371978,0.018818250299811927,5,0.00037819112453006367,300,1,MIXED,0.00010135148803833408,COMPLETE
13,0.8547374076577723,2026-08-03 10:15:33.013625,2026-08-03 10:15:48.444582,0 days 00:00:15.430957,0.07244181790320466,11,0.0005793182382424497,100,1,MIXED,0.0925856112835083,COMPLETE
14,0.8559706564323979,2026-08-03 10:15:48.546606,2026-08-03 10:16:10.491693,0 days 00:00:21.945087,0.06616392789075656,13,0.012321404170357448,150,1,MIXED,0.04927648725114828,COMPLETE
