number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-04 10:17:15.484921,2026-08-04 10:20:57.841604,0 days 00:03:42.356683,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-04 10:20:57.917002,2026-08-04 10:21:58.087573,0 days 00:01:00.170571,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-04 10:21:58.150210,2026-08-04 10:25:25.446997,0 days 00:03:27.296787,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-04 10:25:25.525254,2026-08-04 10:26:00.172789,0 days 00:00:34.647535,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-04 10:26:00.235391,2026-08-04 10:26:21.117837,0 days 00:00:20.882446,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-04 10:26:21.185730,2026-08-04 10:29:13.019054,0 days 00:02:51.833324,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-04 10:29:13.095396,2026-08-04 10:31:22.694620,0 days 00:02:09.599224,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-04 10:31:22.765030,2026-08-04 10:32:08.822354,0 days 00:00:46.057324,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-04 10:32:08.910803,2026-08-04 10:33:35.568765,0 days 00:01:26.657962,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-04 10:33:35.631605,2026-08-04 10:33:49.510747,0 days 00:00:13.879142,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.888494568224111,2026-08-04 10:33:49.579159,2026-08-04 10:34:38.448439,0 days 00:00:48.869280,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8890188405745036,2026-08-04 10:34:38.511205,2026-08-04 10:35:24.597270,0 days 00:00:46.086065,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
12,0.8891434534886227,2026-08-04 10:35:24.659958,2026-08-04 10:35:55.773854,0 days 00:00:31.113896,0.018818250299811927,5,0.00037819112453006367,300,1,MIXED,0.00010135148803833408,COMPLETE
13,0.8874303065792026,2026-08-04 10:35:55.845608,2026-08-04 10:36:08.529570,0 days 00:00:12.683962,0.07244181790320466,11,0.0005793182382424497,100,1,MIXED,0.0925856112835083,COMPLETE
14,0.8867190025937448,2026-08-04 10:36:08.604998,2026-08-04 10:36:27.535266,0 days 00:00:18.930268,0.06616392789075656,13,0.012321404170357448,150,1,MIXED,0.04927648725114828,COMPLETE
15,0.8881077068709091,2026-08-04 10:36:27.598076,2026-08-04 10:37:37.129165,0 days 00:01:09.531089,0.09033082202673717,43,0.0004764231807821211,275,1,SUBSPACE,0.0038065833001435364,COMPLETE
16,0.8920232467075248,2026-08-04 10:37:37.191920,2026-08-04 10:37:53.147364,0 days 00:00:15.955444,0.2148713953268988,14,0.09730580688096313,125,1,MIXED,0.00035766673051521345,COMPLETE
17,0.8818319310825471,2026-08-04 10:37:53.225908,2026-08-04 10:38:09.070917,0 days 00:00:15.845009,0.25681334916292375,14,0.09659450568688238,125,1,MIXED,0.00042672976013364227,COMPLETE
18,0.7057042627944906,2026-08-04 10:38:09.138059,2026-08-04 10:38:53.083570,0 days 00:00:43.945511,0.33229150372463867,138,0.09393610349746763,50,1,UNIFORM,0.18860719731193873,COMPLETE
19,0.8739418006049677,2026-08-04 10:38:53.146134,2026-08-04 10:39:12.293109,0 days 00:00:19.146975,0.22736411333875053,8,0.03918109514985063,175,1,SUBSPACE,0.0020986754212625925,COMPLETE
20,0.8951360997549952,2026-08-04 10:39:12.356142,2026-08-04 10:39:44.060516,0 days 00:00:31.704374,0.4723278963892103,45,0.011446494410654779,125,1,MIXED,0.00039735001748631045,COMPLETE
21,0.8812461381223011,2026-08-04 10:39:44.123144,2026-08-04 10:40:15.951065,0 days 00:00:31.827921,0.49085821528025575,43,0.009945935534127384,125,1,MIXED,0.0003366151112641226,COMPLETE
22,0.8855375374512326,2026-08-04 10:40:16.018455,2026-08-04 10:40:45.081999,0 days 00:00:29.063544,0.41196815156593797,38,0.01644049936852422,125,1,MIXED,0.0010707818612762225,COMPLETE
23,0.8854908356744096,2026-08-04 10:40:45.144578,2026-08-04 10:41:09.575049,0 days 00:00:24.430471,0.42802083772590227,18,0.00485602929571509,175,1,MIXED,0.0002274912707806601,COMPLETE
24,0.5,2026-08-04 10:41:09.636230,2026-08-04 10:42:14.152536,0 days 00:01:04.516306,0.3196396876999559,60,0.05711072728617728,150,1,MIXED,0.006442246339986088,COMPLETE
25,0.897827514172193,2026-08-04 10:42:14.270756,2026-08-04 10:43:13.222917,0 days 00:00:58.952161,0.1857537893695545,89,0.020254048314594285,100,1,MIXED,0.0011532698732502457,COMPLETE
26,0.8887974561901408,2026-08-04 10:43:13.301347,2026-08-04 10:43:33.086035,0 days 00:00:19.784688,0.19650994390553234,33,0.005212851438115401,100,1,MIXED,0.000973148907518441,COMPLETE
27,0.866657670587221,2026-08-04 10:43:33.148833,2026-08-04 10:43:58.634310,0 days 00:00:25.485477,0.29440144340120566,58,0.022514225633122963,100,1,MIXED,0.0007190650470210085,COMPLETE
28,0.8531976796401808,2026-08-04 10:43:58.710685,2026-08-04 10:44:05.795991,0 days 00:00:07.085306,0.4401480101016593,17,0.05211376631100911,50,1,UNIFORM,0.00019394754702828113,COMPLETE
29,0.8697069822748795,2026-08-04 10:44:05.874640,2026-08-04 10:45:20.374663,0 days 00:01:14.500023,0.39169757101158686,103,0.006316397612307214,75,2,SUBSPACE,0.0013554498154597502,COMPLETE
30,0.6412973484168097,2026-08-04 10:45:20.453279,2026-08-04 10:46:28.324481,0 days 00:01:07.871202,0.2735572925020873,80,0.06110864645379587,125,1,MIXED,0.00022944537862142338,COMPLETE
31,0.8866651159281799,2026-08-04 10:46:28.402633,2026-08-04 10:47:39.761764,0 days 00:01:11.359131,0.19085530946267543,108,0.017565813176441295,100,1,MIXED,0.009162678661943665,COMPLETE
32,0.9015257111243633,2026-08-04 10:47:39.848701,2026-08-04 10:50:00.801111,0 days 00:02:20.952410,0.11713050515334827,107,0.02885170365318346,200,1,MIXED,0.030167250382175145,COMPLETE
33,0.8797808698744799,2026-08-04 10:50:00.881519,2026-08-04 10:51:40.137315,0 days 00:01:39.255796,0.12101588940657104,60,0.028313143434173745,225,1,MIXED,0.02463359775473354,COMPLETE
34,0.8767856693801597,2026-08-04 10:51:40.194933,2026-08-04 10:55:36.017100,0 days 00:03:55.822167,0.17001605070234344,150,0.034854725094914926,250,1,MIXED,0.0019760517454127935,COMPLETE
