number,value,datetime_start,datetime_complete,duration,params_fusion_strategy,params_meta_C,params_w_0,params_w_1,params_w_2,state
0,0.8701646990234658,2026-08-03 10:02:46.199165,2026-08-03 10:02:46.201170,0 days 00:00:00.002005,mean,,,,,COMPLETE
1,0.8664988964540781,2026-08-03 10:02:46.296353,2026-08-03 10:02:46.299646,0 days 00:00:00.003293,weighted,,0.2419864247038851,0.7203086925547387,0.05837730581172118,COMPLETE
2,0.8700728236200471,2026-08-03 10:02:46.390978,2026-08-03 10:02:46.403115,0 days 00:00:00.012137,stacking_lr,23.10356194635817,,,,COMPLETE
3,0.870260114102484,2026-08-03 10:02:46.489073,2026-08-03 10:02:46.498705,0 days 00:00:00.009632,stacking_lr,0.86879229294774,,,,COMPLETE
4,0.8962726565265371,2026-08-03 10:02:46.585701,2026-08-03 10:02:46.591217,0 days 00:00:00.005516,rank_mean,,,,,COMPLETE
5,0.8962726565265371,2026-08-03 10:02:46.678596,2026-08-03 10:02:46.683588,0 days 00:00:00.004992,rank_mean,,,,,COMPLETE
6,0.8694849772003248,2026-08-03 10:02:46.769236,2026-08-03 10:02:46.772232,0 days 00:00:00.002996,weighted,,0.4777000179626745,0.9195368729845518,0.3075374387292875,COMPLETE
7,0.8701646990234658,2026-08-03 10:02:46.860101,2026-08-03 10:02:46.863532,0 days 00:00:00.003431,mean,,,,,COMPLETE
8,0.8682341183084515,2026-08-03 10:02:46.955364,2026-08-03 10:02:46.958396,0 days 00:00:00.003032,max,,,,,COMPLETE
9,0.8682341183084515,2026-08-03 10:02:47.047573,2026-08-03 10:02:47.050939,0 days 00:00:00.003366,max,,,,,COMPLETE
10,0.8962726565265371,2026-08-03 10:02:47.141423,2026-08-03 10:02:47.147443,0 days 00:00:00.006020,rank_mean,,,,,COMPLETE
11,0.8962726565265371,2026-08-03 10:02:47.236048,2026-08-03 10:02:47.241549,0 days 00:00:00.005501,rank_mean,,,,,COMPLETE
12,0.8962726565265371,2026-08-03 10:02:47.333753,2026-08-03 10:02:47.339934,0 days 00:00:00.006181,rank_mean,,,,,COMPLETE
13,0.8962726565265371,2026-08-03 10:02:47.429467,2026-08-03 10:02:47.434798,0 days 00:00:00.005331,rank_mean,,,,,COMPLETE
14,0.8962726565265371,2026-08-03 10:02:47.525060,2026-08-03 10:02:47.530529,0 days 00:00:00.005469,rank_mean,,,,,COMPLETE
15,0.8962726565265371,2026-08-03 10:02:47.616253,2026-08-03 10:02:47.622343,0 days 00:00:00.006090,rank_mean,,,,,COMPLETE
16,0.8962726565265371,2026-08-03 10:02:47.709203,2026-08-03 10:02:47.716335,0 days 00:00:00.007132,rank_mean,,,,,COMPLETE
17,0.8962726565265371,2026-08-03 10:02:47.803136,2026-08-03 10:02:47.809147,0 days 00:00:00.006011,rank_mean,,,,,COMPLETE
18,0.8682341183084515,2026-08-03 10:02:47.899116,2026-08-03 10:02:47.902767,0 days 00:00:00.003651,max,,,,,COMPLETE
