number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8107932285193019,2026-08-08 16:17:11.357147,2026-08-08 16:17:12.301786,0 days 00:00:00.944639,False,0.38398623012183963,0.536628194041868,0.3564153687048641,600,COMPLETE
1,0.807517790037579,2026-08-08 16:17:12.380918,2026-08-08 16:17:13.330859,0 days 00:00:00.949941,False,0.36924042442680854,0.8840999889044912,0.8640145968533398,500,COMPLETE
2,0.8036248185864401,2026-08-08 16:17:13.398152,2026-08-08 16:17:13.584487,0 days 00:00:00.186335,False,0.1353982885353253,0.8053361369288301,0.4687020335420059,100,COMPLETE
3,0.8105806203071735,2026-08-08 16:17:13.651519,2026-08-08 16:17:14.626171,0 days 00:00:00.974652,False,0.4625689464137566,0.500031747877314,0.8282380780907392,600,COMPLETE
4,0.8171487603305784,2026-08-08 16:17:14.694942,2026-08-08 16:17:15.240739,0 days 00:00:00.545797,True,0.23839494222218316,0.8669033287950063,0.6963166032152694,300,COMPLETE
5,0.7970312382641478,2026-08-08 16:17:15.307508,2026-08-08 16:17:15.502931,0 days 00:00:00.195423,False,0.3324791783025361,0.7393218515259193,0.6779355150186597,100,COMPLETE
6,0.809146877748461,2026-08-08 16:17:15.572928,2026-08-08 16:17:16.105431,0 days 00:00:00.532503,False,0.17160719491678636,0.7139365002775724,0.7797830873718581,300,COMPLETE
7,0.81766574354725,2026-08-08 16:17:16.174206,2026-08-08 16:17:16.512322,0 days 00:00:00.338116,False,0.4855524407145187,0.5568706017148065,0.9864273686941608,200,COMPLETE
8,0.8053786849061495,2026-08-08 16:17:16.581094,2026-08-08 16:17:16.962066,0 days 00:00:00.380972,False,0.08987234528249519,0.9017654921799765,0.8717824139030287,200,COMPLETE
9,0.7918668575900525,2026-08-08 16:17:17.030580,2026-08-08 16:17:17.998848,0 days 00:00:00.968268,False,0.33026349906138686,0.6798109074445572,0.13411324946807668,600,COMPLETE
10,0.8158788654111273,2026-08-08 16:17:18.069397,2026-08-08 16:17:18.706020,0 days 00:00:00.636623,True,0.011337018004626664,0.6172370043294497,0.980940670746889,400,COMPLETE
11,0.8079578466361867,2026-08-08 16:17:18.774792,2026-08-08 16:17:19.340027,0 days 00:00:00.565235,True,0.22255448277235973,0.9815307015760056,0.5884838388259341,300,COMPLETE
12,0.8078330680273593,2026-08-08 16:17:19.408799,2026-08-08 16:17:19.885350,0 days 00:00:00.476551,True,0.46637058886210286,0.6017105956599174,0.6473909544375284,300,COMPLETE
13,0.8011631668084055,2026-08-08 16:17:19.954127,2026-08-08 16:17:20.309144,0 days 00:00:00.355017,True,0.23716852836872562,0.8112975682905497,0.956211899868848,200,COMPLETE
14,0.8106278665765353,2026-08-08 16:17:20.375914,2026-08-08 16:17:20.729338,0 days 00:00:00.353424,True,0.26800355050215807,0.9475603448090958,0.4348534525622874,200,COMPLETE
15,0.8050258521894407,2026-08-08 16:17:20.807600,2026-08-08 16:17:21.499507,0 days 00:00:00.691907,True,0.4995878489437907,0.7881414927805465,0.7435483999097142,400,COMPLETE
16,0.8061061563100422,2026-08-08 16:17:21.562131,2026-08-08 16:17:22.207439,0 days 00:00:00.645308,True,0.4152999609994896,0.6313256019978641,0.5560447877381338,400,COMPLETE
17,0.8013170200445326,2026-08-08 16:17:22.270180,2026-08-08 16:17:22.616442,0 days 00:00:00.346262,True,0.2850500122360701,0.8676335101105134,0.22693756740704535,200,COMPLETE
18,0.7998372426592621,2026-08-08 16:17:22.679376,2026-08-08 16:17:23.137034,0 days 00:00:00.457658,True,0.032595842194388824,0.5436644516676832,0.9775307139174161,300,COMPLETE
19,0.7912626504914824,2026-08-08 16:17:23.215383,2026-08-08 16:17:23.404669,0 days 00:00:00.189286,False,0.16253196336967857,0.6703721898480715,0.6942912340716344,100,COMPLETE
20,0.7965339409930439,2026-08-08 16:17:23.467291,2026-08-08 16:17:24.334512,0 days 00:00:00.867221,True,0.09459844260231048,0.83969149076499,0.30583542315998835,500,COMPLETE
21,0.819159755385469,2026-08-08 16:17:24.405289,2026-08-08 16:17:25.042872,0 days 00:00:00.637583,True,0.012206376708032976,0.5960891170297734,0.984108374913874,400,COMPLETE
22,0.8047011855179282,2026-08-08 16:17:25.105586,2026-08-08 16:17:25.750368,0 days 00:00:00.644782,True,0.0707500053046892,0.5864094534201154,0.91049756644831,400,COMPLETE
23,0.8057669523248798,2026-08-08 16:17:25.812987,2026-08-08 16:17:26.598462,0 days 00:00:00.785475,True,0.2041018150439031,0.5619427109719923,0.7938360735694489,500,COMPLETE
24,0.8110576259113078,2026-08-08 16:17:26.677188,2026-08-08 16:17:27.180210,0 days 00:00:00.503022,True,0.2948134515134695,0.7458845317641103,0.8985197128937831,300,COMPLETE
25,0.8101475295046895,2026-08-08 16:17:27.242915,2026-08-08 16:17:27.558139,0 days 00:00:00.315224,True,0.1232458191437362,0.5170010363547989,0.9864874830030091,200,COMPLETE
26,0.8119362248050183,2026-08-08 16:17:27.637095,2026-08-08 16:17:28.316224,0 days 00:00:00.679129,False,0.04023831521459337,0.6601794672047797,0.740761858979013,400,COMPLETE
27,0.7961862569082526,2026-08-08 16:17:28.397335,2026-08-08 16:17:28.877756,0 days 00:00:00.480421,True,0.41196815156593797,0.5867944852894882,0.5814959312512606,300,COMPLETE
28,0.8170415476424112,2026-08-08 16:17:28.948530,2026-08-08 16:17:29.345042,0 days 00:00:00.396512,False,0.17702332654092173,0.9471855649945786,0.8959370713314914,200,COMPLETE
29,0.8093991607124252,2026-08-08 16:17:29.411811,2026-08-08 16:17:30.230680,0 days 00:00:00.818869,False,0.3463090230627736,0.5583187710436657,0.45501512836764485,500,COMPLETE
30,0.8000925542302371,2026-08-08 16:17:30.301684,2026-08-08 16:17:30.798081,0 days 00:00:00.496397,True,0.4005201166244469,0.7028799230210695,0.8125187097506914,300,COMPLETE
31,0.8169833983878119,2026-08-08 16:17:30.867114,2026-08-08 16:17:31.269380,0 days 00:00:00.402266,False,0.18666757888780877,0.9865532595152915,0.9390627291801243,200,COMPLETE
32,0.8314265223595998,2026-08-08 16:17:31.337896,2026-08-08 16:17:31.546494,0 days 00:00:00.208598,False,0.14006029718301952,0.930993667392895,0.8667062802879154,100,COMPLETE
33,0.8132563946008418,2026-08-08 16:17:31.615008,2026-08-08 16:17:31.814257,0 days 00:00:00.199249,False,0.13147918029491126,0.9361022670679318,0.8840176351945501,100,COMPLETE
34,0.8058450903857476,2026-08-08 16:17:31.883029,2026-08-08 16:17:32.095202,0 days 00:00:00.212173,False,0.25787725941206324,0.9039485736699677,0.836191889181464,100,COMPLETE
35,0.8209169531728898,2026-08-08 16:17:32.163974,2026-08-08 16:17:32.361590,0 days 00:00:00.197616,False,0.06625027342252846,0.8716859146942537,0.844414849636111,100,COMPLETE
36,0.8188214599824097,2026-08-08 16:17:32.430362,2026-08-08 16:17:32.623092,0 days 00:00:00.192730,False,0.04656948753892754,0.7677632559734011,0.8460648438995733,100,COMPLETE
37,0.8085099616941784,2026-08-08 16:17:32.692126,2026-08-08 16:17:32.893385,0 days 00:00:00.201259,False,0.0515029115970045,0.832391566520991,0.7581544185836728,100,COMPLETE
38,0.7745217223809213,2026-08-08 16:17:32.962413,2026-08-08 16:17:33.157771,0 days 00:00:00.195358,False,0.011294387236968734,0.7698494037666462,0.8457426936461134,100,COMPLETE
39,0.8230006347960294,2026-08-08 16:17:33.226544,2026-08-08 16:17:33.435198,0 days 00:00:00.208654,False,0.10422105053465605,0.9242947771995036,0.9419045901167068,100,COMPLETE
40,0.8043059523030739,2026-08-08 16:17:33.505480,2026-08-08 16:17:33.720110,0 days 00:00:00.214630,False,0.10481246289285731,0.9188940490203882,0.9259577889789955,100,COMPLETE
41,0.7988838371723955,2026-08-08 16:17:33.789145,2026-08-08 16:17:33.999726,0 days 00:00:00.210581,False,0.06563727976973746,0.876647686339113,0.8530462110173971,100,COMPLETE
42,0.8191688412065001,2026-08-08 16:17:34.067984,2026-08-08 16:17:34.272931,0 days 00:00:00.204947,False,0.07506938613228853,0.9716963726034267,0.8071170268241421,100,COMPLETE
43,0.8046654479552057,2026-08-08 16:17:34.339964,2026-08-08 16:17:34.556997,0 days 00:00:00.217033,False,0.15375375868782118,0.9979640541478672,0.7832281141879266,100,COMPLETE
44,0.819377512229515,2026-08-08 16:17:34.625768,2026-08-08 16:17:35.808649,0 days 00:00:01.182881,False,0.07744994677355281,0.9652781393863055,0.9279632783708806,600,COMPLETE
45,0.8110942720561334,2026-08-08 16:17:35.877691,2026-08-08 16:17:37.055325,0 days 00:00:01.177634,False,0.11370667527963399,0.9614770205726159,0.9369988840136754,600,COMPLETE
46,0.8150151066917678,2026-08-08 16:17:37.134180,2026-08-08 16:17:37.338206,0 days 00:00:00.204026,False,0.08019541662271096,0.8979244437327263,0.6400820240539186,100,COMPLETE
47,0.8173080650593243,2026-08-08 16:17:37.400822,2026-08-08 16:17:37.810419,0 days 00:00:00.409597,False,0.14893542767616713,0.9670450279364681,0.8051661785656125,200,COMPLETE
48,0.8060976762104131,2026-08-08 16:17:37.873312,2026-08-08 16:17:38.093522,0 days 00:00:00.220210,False,0.10272428116837001,0.9225702082929349,0.715925258488526,100,COMPLETE
49,0.8113623037765518,2026-08-08 16:17:38.156379,2026-08-08 16:17:39.289390,0 days 00:00:01.133011,False,0.13847927801305288,0.845652934022667,0.8834553193403373,600,COMPLETE
50,0.8144024194935684,2026-08-08 16:17:39.351997,2026-08-08 16:17:39.745886,0 days 00:00:00.393889,False,0.08214092063753785,0.967003437625178,0.9465209698337488,200,COMPLETE
51,0.8153076701289701,2026-08-08 16:17:39.808515,2026-08-08 16:17:40.737597,0 days 00:00:00.929082,False,0.02963281364107853,0.9234641650369911,0.9972930268039677,500,COMPLETE
52,0.8151071763448832,2026-08-08 16:17:40.800224,2026-08-08 16:17:41.964338,0 days 00:00:01.164114,False,0.0615823716913016,0.885372234297983,0.8719047247497401,600,COMPLETE
53,0.8179168150684102,2026-08-08 16:17:42.026941,2026-08-08 16:17:42.247911,0 days 00:00:00.220970,False,0.02647691251066961,0.9416710435376301,0.9553329749687062,100,COMPLETE
54,0.8117681371159422,2026-08-08 16:17:42.310833,2026-08-08 16:17:42.531367,0 days 00:00:00.220534,False,0.0819207454808535,0.9966045100616987,0.8229289503118457,100,COMPLETE
55,0.8192887740441112,2026-08-08 16:17:42.594025,2026-08-08 16:17:43.584738,0 days 00:00:00.990713,False,0.11985577321863172,0.9627267154627821,0.9194202780654401,500,COMPLETE
56,0.8215905153719978,2026-08-08 16:17:43.647437,2026-08-08 16:17:44.644397,0 days 00:00:00.996960,False,0.11340630567422308,0.9675409287683246,0.7761569183162288,500,COMPLETE
57,0.8111739244205063,2026-08-08 16:17:44.713433,2026-08-08 16:17:45.649686,0 days 00:00:00.936253,False,0.12274574448400545,0.8586217234904987,0.7640820596591378,500,COMPLETE
58,0.8134172136330927,2026-08-08 16:17:45.719686,2026-08-08 16:17:46.863589,0 days 00:00:01.143903,False,0.20119879860495793,0.9050238988330254,0.902454664358277,600,COMPLETE
59,0.8066431283329819,2026-08-08 16:17:46.932360,2026-08-08 16:17:47.904425,0 days 00:00:00.972065,False,0.14394102918319188,0.952153540718792,0.7125565876331592,500,COMPLETE
60,0.812383852921152,2026-08-08 16:17:47.983234,2026-08-08 16:17:49.136292,0 days 00:00:01.153058,False,0.09861187625915276,0.926414985117833,0.6568133140272012,600,COMPLETE
61,0.8181839382067253,2026-08-08 16:17:49.214576,2026-08-08 16:17:50.195790,0 days 00:00:00.981214,False,0.11716786358553853,0.9787274892696541,0.8596366104317604,500,COMPLETE
62,0.8181754581070965,2026-08-08 16:17:50.259066,2026-08-08 16:17:51.065403,0 days 00:00:00.806337,False,0.16383064779035814,0.9756542422057808,0.8046030993610047,400,COMPLETE
63,0.8179928331043707,2026-08-08 16:17:51.128461,2026-08-08 16:17:52.093112,0 days 00:00:00.964651,False,0.062117086236042535,0.8900875455960423,0.9175658806677424,500,COMPLETE
64,0.8101299635840293,2026-08-08 16:17:52.171374,2026-08-08 16:17:53.344182,0 days 00:00:01.172808,False,0.09391879687635593,0.955157799537236,0.7814589606337263,600,COMPLETE
65,0.8103104685618477,2026-08-08 16:17:53.407128,2026-08-08 16:17:53.628948,0 days 00:00:00.221820,False,0.11329522020687967,0.9376240621476062,0.9662603328955,100,COMPLETE
66,0.8099152353469935,2026-08-08 16:17:53.691722,2026-08-08 16:17:54.103061,0 days 00:00:00.411339,False,0.13304282932778527,0.9152128164850293,0.7260855549282094,200,COMPLETE
67,0.8075589790929201,2026-08-08 16:17:54.165704,2026-08-08 16:17:54.909626,0 days 00:00:00.743922,False,0.0737027007711775,0.8130579834277016,0.8258329262293833,400,COMPLETE
68,0.818573114207559,2026-08-08 16:17:54.987918,2026-08-08 16:17:55.969119,0 days 00:00:00.981201,False,0.17702154796847594,0.9833409742871122,0.8720376537215265,500,COMPLETE
69,0.7953609614979249,2026-08-08 16:17:56.031825,2026-08-08 16:17:56.395926,0 days 00:00:00.364101,False,0.19605275297717606,0.8713546609314369,0.12367321007756021,200,COMPLETE
70,0.81851799355997,2026-08-08 16:17:56.474199,2026-08-08 16:17:56.680018,0 days 00:00:00.205819,False,0.045111062150023466,0.9372165682092937,0.9182366575866305,100,COMPLETE
71,0.8033331637313408,2026-08-08 16:17:56.742656,2026-08-08 16:17:57.486489,0 days 00:00:00.743833,True,0.025581701462121235,0.9610411895368588,0.997450697042641,400,COMPLETE
72,0.8284739333851832,2026-08-08 16:17:57.564810,2026-08-08 16:17:58.308466,0 days 00:00:00.743656,True,0.05386199509107458,0.9693563942766983,0.9488198784827652,400,COMPLETE
73,0.81174996547388,2026-08-08 16:17:58.386785,2026-08-08 16:17:59.510690,0 days 00:00:01.123905,True,0.058292594101169284,0.9990762884280859,0.9634389316535915,600,COMPLETE
74,0.8249310689044438,2026-08-08 16:17:59.573328,2026-08-08 16:18:00.568313,0 days 00:00:00.994985,False,0.07919783398085657,0.9703532480829504,0.8918241470603508,500,COMPLETE
75,0.815257395252598,2026-08-08 16:18:00.630952,2026-08-08 16:18:01.611683,0 days 00:00:00.980731,False,0.09195270071705805,0.905892143550748,0.8911888346075434,500,COMPLETE
76,0.808561750874056,2026-08-08 16:18:01.674362,2026-08-08 16:18:02.416738,0 days 00:00:00.742376,True,0.1588359975690071,0.9528127182392341,0.9340925953091122,400,COMPLETE
