,,,,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_PR,AUC_PR,AUC_PR,AUC_PR,AUC_PR,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1,F1,F1,F1,F1,runtime_train,runtime_train,runtime_train,runtime_train,runtime_train,runtime_inference,runtime_inference,runtime_inference,runtime_inference,runtime_inference
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
dataset_name,model_type,fusion_strategy,threshold_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICIDS,Ensemble_with_LUNAR,rank_mean,operational,0.8501875077285439,0.023083067707670428,0.8338653140218619,0.8665097014352259,2,0.6888794421566643,0.03166587966787184,0.6664882839112749,0.7112706004020537,2,0.4430221623861451,0.05963286885487566,0.4008553564372545,0.4851889683350358,2,0.8950150535315893,0.006733182101008024,0.8902539748090027,0.899776132254176,2,0.5916151209321235,0.05489187316557955,0.5528007051847104,0.6304295366795367,2,228.4803031682968,84.84666822611064,168.4846487045288,288.4759576320648,2,26.568566918373108,15.167191655175316,15.843742847442627,37.29339098930359,2
CICIDS,Ensemble_with_LUNAR,rank_mean,recall_oriented,0.8501875077285439,0.023083067707670428,0.8338653140218619,0.8665097014352259,2,0.6888794421566643,0.03166587966787184,0.6664882839112749,0.7112706004020537,2,0.43323552021552164,0.05913478671100465,0.3914209115281501,0.47505012890289317,2,0.928176318989012,0.03362747928691802,0.9043981003510221,0.9519545376270019,2,0.5900924020403672,0.06182842214726976,0.5463731054699682,0.6338116986107661,2,228.4803031682968,84.84666822611064,168.4846487045288,288.4759576320648,2,26.568566918373108,15.167191655175316,15.843742847442627,37.29339098930359,2
CICIDS,Ensemble_with_LUNAR,rank_mean,standard,0.8501875077285439,0.023083067707670428,0.8338653140218619,0.8665097014352259,2,0.6888794421566643,0.03166587966787184,0.6664882839112749,0.7112706004020537,2,0.513192887531429,0.04473308168893194,0.48156182212581344,0.5448239529370446,2,0.7790643335218721,0.19579647108966533,0.6406153210819739,0.9175133459617703,2,0.6102328653554399,0.030240860865948464,0.5888493475682087,0.6316163831426709,2,228.4803031682968,84.84666822611064,168.4846487045288,288.4759576320648,2,26.568566918373108,15.167191655175316,15.843742847442627,37.29339098930359,2
CICIDS,Ensemble_with_LUNAR,stacking_lr,operational,0.8536135194404088,,0.8536135194404088,0.8536135194404088,1,0.7017030819378056,,0.7017030819378056,0.7017030819378056,1,0.35802289584675157,,0.35802289584675157,0.35802289584675157,1,0.9606957685231644,,0.9606957685231644,0.9606957685231644,1,0.521644366410365,,0.521644366410365,0.521644366410365,1,124.09192872047424,,124.09192872047424,124.09192872047424,1,34.66226649284363,,34.66226649284363,34.66226649284363,1
CICIDS,Ensemble_with_LUNAR,stacking_lr,recall_oriented,0.8536135194404088,,0.8536135194404088,0.8536135194404088,1,0.7017030819378056,,0.7017030819378056,0.7017030819378056,1,0.35024994141997967,,0.35024994141997967,0.35024994141997967,1,1.0,,1.0,1.0,1,0.5187927518836136,,0.5187927518836136,0.5187927518836136,1,124.09192872047424,,124.09192872047424,124.09192872047424,1,34.66226649284363,,34.66226649284363,34.66226649284363,1
CICIDS,Ensemble_with_LUNAR,stacking_lr,standard,0.8536135194404088,,0.8536135194404088,0.8536135194404088,1,0.7017030819378056,,0.7017030819378056,0.7017030819378056,1,0.6071617909296834,,0.6071617909296834,0.6071617909296834,1,0.7023471037520209,,0.7023471037520209,0.7023471037520209,1,0.6512950421341054,,0.6512950421341054,0.6512950421341054,1,124.09192872047424,,124.09192872047424,124.09192872047424,1,34.66226649284363,,34.66226649284363,34.66226649284363,1
CICIDS,Ensemble_without_LUNAR,rank_mean,operational,0.8274637972804825,0.021324188965883936,0.8148835540953956,0.8520848802800494,3,0.6520584975428417,0.022224379020941244,0.6352139826594327,0.6772473814079927,3,0.4055566454085599,0.04103976815897703,0.3802425356798879,0.4529074959289804,3,0.8945040952577603,0.003770210641394235,0.8901507330167252,0.8967065868263473,3,0.5572114306024009,0.037398085992189,0.5340322183964584,0.6003551161090416,3,10.52973222732544,4.793747542257993,5.013995170593262,13.690712451934814,3,19.67509325345357,11.360667287922986,6.56597638130188,26.65161418914795,3
CICIDS,Ensemble_without_LUNAR,rank_mean,recall_oriented,0.8274637972804825,0.021324188965883936,0.8148835540953956,0.8520848802800494,3,0.6520584975428417,0.022224379020941244,0.6352139826594327,0.6772473814079927,3,0.4075145626048718,0.05886654577343113,0.37191894127378,0.47546198959831804,3,0.9076502168077637,0.020624922173565634,0.887208341936816,0.9284534379516829,3,0.5603499876492486,0.050903633374239914,0.5308285891182556,0.619128242074928,3,10.52973222732544,4.793747542257993,5.013995170593262,13.690712451934814,3,19.67509325345357,11.360667287922986,6.56597638130188,26.65161418914795,3
