number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.8476479705383637,2026-09-01 11:33:57.411107,2026-09-01 11:33:59.323782,0 days 00:00:01.912675,True,0.457771400966063,0.966553221140785,0.4067639890203715,300,COMPLETE
1,0.8443596490361471,2026-09-01 11:33:59.387136,2026-09-01 11:34:00.303027,0 days 00:00:00.915891,False,0.39472393473368367,0.5447721105234987,0.5582074999686456,200,COMPLETE
2,0.8512067357433845,2026-09-01 11:34:00.375643,2026-09-01 11:34:02.892036,0 days 00:00:02.516393,False,0.27705326634679056,0.622684413795151,0.609488257740724,500,COMPLETE
3,0.8556171347921052,2026-09-01 11:34:02.955490,2026-09-01 11:34:05.011667,0 days 00:00:02.056177,False,0.31616264948929307,0.977109372355529,0.7457417492186885,300,COMPLETE
4,0.8490892143144538,2026-09-01 11:34:05.090986,2026-09-01 11:34:06.282227,0 days 00:00:01.191241,True,0.4619108580509394,0.8550651602990149,0.9844301217415692,200,COMPLETE
5,0.8456433865793463,2026-09-01 11:34:06.345440,2026-09-01 11:34:07.250569,0 days 00:00:00.905129,False,0.10084813565750601,0.551286129326928,0.3413753380948246,200,COMPLETE
6,0.8483316576077193,2026-09-01 11:34:07.329020,2026-09-01 11:34:08.222427,0 days 00:00:00.893407,False,0.3603154487751809,0.5405766371878715,0.3973006688051278,200,COMPLETE
7,0.8466567926836278,2026-09-01 11:34:08.295394,2026-09-01 11:34:09.277386,0 days 00:00:00.981992,True,0.08700980529091541,0.6714368485600872,0.433574072092035,200,COMPLETE
8,0.8576070121819789,2026-09-01 11:34:09.340706,2026-09-01 11:34:11.402609,0 days 00:00:02.061903,False,0.17612921621304822,0.9899088476508899,0.9967978283913689,300,COMPLETE
9,0.8429401844540563,2026-09-01 11:34:11.479663,2026-09-01 11:34:12.156513,0 days 00:00:00.676850,False,0.38021964850567974,0.9270607658102566,0.3748164753439397,100,COMPLETE
