number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8153924711252608,2026-08-31 17:40:15.374431,2026-08-31 17:40:17.360927,0 days 00:00:01.986496,0.039149152205203916,60,manhattan,77,,COMPLETE
1,0.7920485740106753,2026-08-31 17:40:17.467570,2026-08-31 17:40:17.596512,0 days 00:00:00.128942,0.2269207396964516,30,euclidean,52,,COMPLETE
2,0.8145050892712203,2026-08-31 17:40:17.693029,2026-08-31 17:40:18.353447,0 days 00:00:00.660418,0.22997530625967222,10,minkowski,24,1.0,COMPLETE
3,0.8229476341733477,2026-08-31 17:40:18.439586,2026-08-31 17:40:18.539024,0 days 00:00:00.099438,0.16956180282810995,60,euclidean,16,,COMPLETE
4,0.8074193603097417,2026-08-31 17:40:18.628045,2026-08-31 17:40:19.357659,0 days 00:00:00.729614,0.1721927307352018,50,minkowski,97,1.0,COMPLETE
5,0.8294385447179881,2026-08-31 17:40:19.445078,2026-08-31 17:40:20.118602,0 days 00:00:00.673524,0.1718636974605696,20,manhattan,27,,COMPLETE
6,0.8345214558635042,2026-08-31 17:40:20.206811,2026-08-31 17:40:20.313483,0 days 00:00:00.106672,0.19161255036121908,20,euclidean,22,,COMPLETE
7,0.7710866763097515,2026-08-31 17:40:20.403788,2026-08-31 17:40:21.063765,0 days 00:00:00.659977,0.49825659545752304,30,manhattan,11,,COMPLETE
8,0.82294823989475,2026-08-31 17:40:21.155239,2026-08-31 17:40:21.276069,0 days 00:00:00.120830,0.15962230324281163,10,minkowski,45,2.0,COMPLETE
9,0.725086678732637,2026-08-31 17:40:21.361290,2026-08-31 17:40:21.988906,0 days 00:00:00.627616,0.3682552179079402,20,minkowski,6,1.0,COMPLETE
10,0.7449292032825254,2026-08-31 17:40:22.080382,2026-08-31 17:40:22.173513,0 days 00:00:00.093131,0.021202171358701394,40,euclidean,5,,COMPLETE
11,0.8294385447179881,2026-08-31 17:40:22.253532,2026-08-31 17:40:22.885872,0 days 00:00:00.632340,0.27612244938019653,20,manhattan,27,,COMPLETE
12,0.816431586190521,2026-08-31 17:40:22.977670,2026-08-31 17:40:23.518352,0 days 00:00:00.540682,0.0857898117819775,20,manhattan,25,,COMPLETE
13,0.8077773416583682,2026-08-31 17:40:23.612815,2026-08-31 17:40:23.705877,0 days 00:00:00.093062,0.32804370506382213,30,euclidean,13,,COMPLETE
14,0.8515261756446693,2026-08-31 17:40:23.789865,2026-08-31 17:40:24.331389,0 days 00:00:00.541524,0.09794798590340686,10,manhattan,38,,COMPLETE
15,0.8282271019138374,2026-08-31 17:40:24.419203,2026-08-31 17:40:24.533409,0 days 00:00:00.114206,0.11018226451817584,10,euclidean,43,,COMPLETE
